;Global best - Tournament;Global best - Roulette
0;1788,2146;1769,3396
1;1788,2146;1691,4523
2;1706,487;1691,4523
3;1685,3933;1691,4523
4;1652,8425;1691,4523
5;1547,4021;1691,4523
6;1547,4021;1691,4523
7;1547,4021;1665,5961
8;1515,549;1665,5961
9;1493,2844;1665,5961
10;1443,7711;1665,5961
11;1384,2162;1665,5961
12;1384,2162;1662,9895
13;1384,2162;1662,9895
14;1369,0826;1662,9895
15;1338,6736;1662,9895
16;1338,6736;1662,9895
17;1338,6736;1662,9895
18;1338,6736;1662,9895
19;1326,1697;1662,9895
20;1322,283;1662,9895
21;1310,847;1662,9895
22;1301,881;1662,9895
23;1285,4904;1662,9895
24;1285,4904;1662,9895
25;1274,6947;1662,9895
26;1274,6947;1662,9895
27;1268,6654;1662,9895
28;1268,6654;1662,9895
29;1268,6654;1662,9895
30;1268,6654;1662,9895
31;1268,6654;1662,9895
32;1261,018;1662,9895
33;1261,018;1662,9895
34;1261,018;1662,9895
35;1261,018;1641,7314
36;1243,34;1641,7314
37;1243,34;1641,7314
38;1243,34;1554,7139
39;1233,1903;1554,7139
40;1233,1903;1554,7139
41;1233,1903;1554,7139
42;1233,1903;1554,7139
43;1233,1903;1554,7139
44;1233,1903;1554,7139
45;1213,7833;1554,7139
46;1202,4972;1554,7139
47;1202,4972;1554,7139
48;1202,4972;1554,7139
49;1202,4972;1554,7139
50;1192,0648;1554,7139
51;1192,0648;1554,7139
52;1153,4308;1554,7139
53;1153,4308;1554,7139
54;1153,4308;1554,7139
55;1142,9984;1554,7139
56;1142,9984;1554,7139
57;1142,9984;1554,7139
58;1142,9984;1554,7139
59;1142,9984;1554,7139
60;1142,9984;1554,7139
61;1134,6049;1554,7139
62;1134,6049;1554,7139
63;1134,6049;1554,7139
64;1134,6049;1554,7139
65;1130,4153;1554,7139
66;1130,4153;1554,7139
67;1130,4153;1554,7139
68;1130,4153;1554,7139
69;1130,4153;1554,7139
70;1130,4153;1554,7139
71;1130,4153;1554,7139
72;1101,8783;1554,7139
73;1101,8783;1554,7139
74;1101,8223;1554,7139
75;1101,8223;1554,7139
76;1101,8223;1554,7139
77;1082,2188;1554,7139
78;1082,2188;1554,7139
79;1082,2188;1554,7139
80;1081,3856;1554,7139
81;1081,3856;1554,7139
82;1081,3856;1554,7139
83;1081,3856;1554,7139
84;1081,3856;1554,7139
85;1081,3856;1554,7139
86;1081,3856;1554,7139
87;1081,3856;1554,7139
88;1081,3856;1554,7139
89;1081,3856;1554,7139
90;1081,3856;1554,7139
91;1081,3856;1554,7139
92;1068,9016;1554,7139
93;1012,6343;1554,7139
94;1012,6343;1554,7139
95;1012,6343;1554,7139
96;1012,6343;1554,7139
97;1012,6343;1554,7139
98;1008,15063;1554,7139
99;1008,15063;1554,7139
