;Random;Greedy
0;1814,157;1046,4196
1;1792,9453;1040,7458
2;1758,3579;1040,7458
3;1719,0131;1016,9012
4;1632,6652;1016,9012
5;1629,4718;1016,48065
6;1595,8951;1006,35815
7;1587,667;1006,35815
8;1579,571;999,5097
9;1511,2574;998,715
10;1511,2574;998,715
11;1511,2574;998,715
12;1511,2574;998,715
13;1511,2574;998,715
14;1511,2574;998,715
15;1511,2574;998,715
16;1511,2574;998,715
17;1474,2789;998,715
18;1474,2789;998,715
19;1474,2789;998,715
20;1474,2789;998,715
21;1448,375;998,715
22;1448,375;993,2111
23;1447,5443;993,2111
24;1447,5443;993,2111
25;1421,2428;993,2111
26;1421,2428;993,2111
27;1421,2428;993,2111
28;1413,0419;993,2111
29;1413,0419;993,2111
30;1379,8872;993,2111
31;1343,8345;993,2111
32;1314,8396;993,2111
33;1314,8396;993,2111
34;1296,1372;993,2111
35;1281,3107;993,2111
36;1280,812;993,2111
37;1280,812;993,2111
38;1279,2831;993,2111
39;1279,2831;993,2111
40;1279,2831;993,2111
41;1279,2831;993,2111
42;1256,4448;993,2111
43;1256,4448;988,93427
44;1256,4448;988,93427
45;1256,4448;988,93427
46;1256,4448;988,93427
47;1256,4448;988,93427
48;1256,4448;988,93427
49;1256,4448;988,93427
50;1256,4448;988,93427
51;1256,4448;988,93427
52;1253,0684;988,93427
53;1253,0684;988,93427
54;1253,0684;988,93427
55;1251,7543;987,44037
56;1251,7543;987,44037
57;1245,3132;987,44037
58;1245,3132;987,44037
59;1245,3132;987,44037
60;1234,8208;987,44037
61;1234,8208;987,44037
62;1234,8208;987,44037
63;1234,8208;987,44037
64;1234,8208;987,44037
65;1234,8208;987,44037
66;1234,8208;987,44037
67;1234,8208;962,5688
68;1234,8208;962,5688
69;1217,8066;962,5688
70;1217,8066;962,5688
71;1217,8066;960,2009
72;1215,4622;960,2009
73;1215,4622;960,2009
74;1215,4622;960,2009
75;1215,4622;959,5887
76;1215,4622;959,5887
77;1215,4622;959,5887
78;1215,4622;959,5887
79;1215,4622;959,5887
80;1215,4622;959,5887
81;1154,283;959,5887
82;1154,283;959,5887
83;1154,283;959,5887
84;1154,283;959,5887
85;1152,7107;959,5887
86;1152,7107;959,5887
87;1152,7107;959,5887
88;1152,7107;959,5887
89;1152,7107;959,5887
90;1152,7107;959,5887
91;1150,8638;959,5887
92;1150,8638;959,5887
93;1150,8638;959,5887
94;1150,8638;959,5887
95;1150,8638;959,5887
96;1150,8638;959,5887
97;1150,8638;959,5887
98;1150,8638;959,5887
99;1146,6742;959,5887
100;1146,6742;959,5887
101;1139,4784;959,5887
102;1139,4784;959,5887
103;1139,4784;959,5887
104;1139,4784;959,5887
105;1139,4784;959,5887
106;1139,4784;959,5887
107;1139,4784;959,5887
108;1139,4784;959,5887
109;1139,4784;959,5887
110;1137,0778;959,5887
111;1137,0778;959,5887
112;1137,0778;959,5887
113;1137,0778;959,5887
114;1137,0778;959,5887
115;1137,0778;959,5887
116;1137,0778;959,5887
117;1137,0778;959,5887
118;1137,0778;959,5887
119;1137,0778;959,5887
120;1137,0778;959,5887
121;1137,0778;959,5887
122;1137,0778;959,5887
123;1137,0778;959,5887
124;1137,0778;959,5887
125;1137,0778;959,5887
126;1137,0778;959,5887
127;1137,0778;959,5887
128;1137,0778;959,5887
129;1137,0778;959,5887
130;1137,0778;959,5887
131;1137,0778;959,5887
132;1137,0778;959,5887
133;1137,0778;959,5887
134;1137,0778;959,5887
135;1137,0778;959,5887
136;1137,0778;959,5887
137;1137,0778;959,5887
138;1137,0778;959,5887
139;1137,0778;959,5887
140;1137,0778;959,5887
141;1137,0778;959,5887
142;1137,0778;959,5887
143;1137,0778;959,5887
144;1137,0778;959,5887
145;1135,6948;959,5887
146;1130,397;959,5887
147;1130,397;959,5887
148;1130,397;959,5887
149;1130,397;959,5887
150;1124,3885;959,5887
151;1113,4354;959,5887
152;1113,4354;959,5887
153;1113,4354;959,5887
154;1087,9344;959,5887
155;1082,6311;959,5887
156;1080,5358;959,5887
157;1080,5358;959,5887
158;1080,5358;959,5887
159;1080,5358;959,5887
160;1080,5358;959,5887
161;1080,5358;959,5887
162;1080,5358;959,5887
163;1080,5358;959,5887
164;1080,5358;959,5887
165;1080,5358;959,5887
166;1080,5358;959,5887
167;1080,5358;959,5887
168;1080,5358;959,5887
169;1080,5358;959,5887
170;1080,5358;959,5887
171;1080,5358;959,5887
172;1080,5358;959,5887
173;1080,5358;959,5887
174;1080,5358;959,5887
175;1080,5358;959,5887
176;1080,5358;959,5887
177;1080,5358;959,5887
178;1080,5358;959,5887
179;1080,5358;959,5887
180;1080,5358;959,5887
181;1080,5358;959,5887
182;1080,5358;959,5887
183;1080,5358;959,5887
184;1080,5358;959,5887
185;1080,5358;958,9665
186;1080,5358;958,9665
187;1080,5358;958,9665
188;1077,9852;958,9665
189;1077,9852;958,9665
190;1077,9852;958,9665
191;1077,9852;958,9665
192;1077,9852;958,9665
193;1077,9852;958,9665
194;1077,9852;958,9665
195;1031,8419;958,9665
196;1031,8419;958,9665
