;Current Best;Average;Worst;Global Best
0;1557,03;1923,6707;2404,5615;1747,8333
1;1456,0488;1815,4376;2205,6748;1557,03
2;1487,8223;1883,1058;2370,3027;1456,0488
3;1460,8792;1817,7128;2281,249;1456,0488
4;1462,2795;1772,2899;2231,6404;1456,0488
5;1359,5721;1732,3418;2155,5244;1456,0488
6;1341,5518;1789,0637;2172,8154;1359,5721
7;1288,6674;1586,8832;1940,0592;1341,5518
8;1247,2981;1607,491;2021,0487;1288,6674
9;1248,2449;1571,6123;1964,0898;1247,2981
10;1216,4979;1536,4764;1945,1206;1247,2981
11;1216,4979;1517,1986;2071,294;1216,4979
12;1216,4979;1539,2815;2003,1587;1216,4979
13;1198,8;1503,2404;1988,9674;1216,4979
14;1164,2192;1553,4891;1937,5288;1198,8
15;1112,3079;1641,3336;2137,7253;1164,2192
16;1107,0162;1578,45;2083,0676;1112,3079
17;1076,5481;1452,7058;2063,4688;1107,0162
18;1076,5481;1684,1807;2103,9082;1076,5481
19;1067,433;1511,4968;2115,394;1076,5481
20;1048,2292;1447,7512;2105,1836;1067,433
21;1026,8224;1537,4078;1993,7847;1048,2292
22;1001,66425;1487,2532;2019,8208;1026,8224
23;996,1559;1455,0623;1948,3356;1001,66425
24;996,1559;1474,2761;1960,3856;996,1559
25;990,4378;1380,0349;1953,4492;996,1559
26;969,0482;1366,7506;2048,7083;990,4378
27;946,5022;1304,9109;1811,3228;969,0482
28;939,4545;1397,1317;1916,1273;946,5022
29;939,4545;1360,9661;1953,576;939,4545
30;933,7364;1170,337;1806,5728;939,4545
31;933,7364;1349,3208;1995,0029;933,7364
32;919,33777;1372,077;1929,2817;933,7364
33;909,22186;1244,5657;1709,4491;919,33777
34;909,22186;1343,1074;1824,4166;909,22186
35;909,22186;1208,4366;1818,9062;909,22186
36;909,22186;1035,615;1761,0393;909,22186
37;905,6326;998,2807;1572,1815;909,22186
38;905,6326;1195,2712;1771,1643;905,6326
39;905,6326;1273,1443;1907,9537;905,6326
40;892,8563;1063,0859;1566,0043;905,6326
41;892,8563;1282,532;1768,6133;892,8563
42;892,8563;1360,8269;2115,562;892,8563
43;892,8563;1336,3386;1869,8408;892,8563
44;890,4536;1290,8267;1967,456;892,8563
45;890,4536;1254,9711;1832,1897;890,4536
46;890,4536;1315,9376;2014,3364;890,4536
47;889,6221;1142,2555;1727,8851;890,4536
48;889,6221;1396,964;1961,5936;889,6221
49;889,6221;1462,5836;2091,7173;889,6221
50;889,6221;1314,2335;1909,9515;889,6221
51;889,6221;1178,9878;1746,4431;889,6221
52;889,6221;1050,3013;1716,4958;889,6221
53;889,6221;984,2018;1510,808;889,6221
54;889,6221;988,73315;1540,4705;889,6221
55;889,622;965,96027;1474,8975;889,6221
56;889,622;1285,3822;2179,1855;889,622
57;889,622;1230,9207;1960,9908;889,622
58;889,622;1218,0465;1734,7001;889,622
59;889,622;1057,1494;1540,6992;889,622
60;889,622;981,4068;1507,8728;889,622
61;889,622;974,685;1432,7086;889,622
62;889,622;979,7991;1442,4573;889,622
63;889,622;977,1675;1480,2073;889,622
64;889,622;980,2035;1395,88;889,622
65;889,622;991,33624;1519,1309;889,622
66;889,622;967,31714;1595,028;889,622
67;889,622;974,16583;1373,1447;889,622
68;889,622;961,81;1403,5835;889,622
69;889,622;948,94586;1421,4089;889,622
70;889,622;976,20734;1429,6768;889,622
71;889,622;979,2799;1398,3795;889,622
72;889,622;967,63776;1458,5007;889,622
73;889,622;969,1023;1456,8818;889,622
74;889,622;988,4259;1502,6825;889,622
75;889,622;961,2382;1469,4338;889,622
76;889,622;963,1271;1578,3839;889,622
77;887,09;982,372;1420,0806;889,622
78;887,09;1202,9498;1872,178;887,09
79;887,09;1174,4789;1902,6056;887,09
80;887,09;1298,9061;1861,657;887,09
81;887,09;1280,1273;1750,1494;887,09
82;880,0231;1061,6812;1612,831;887,09
83;875,22107;1164,6471;1969,1193;880,0231
84;875,22107;1290,7981;1877,0217;875,22107
85;875,22107;1294,3428;1893,5238;875,22107
86;863,08405;1150,3416;1704,8003;875,22107
87;863,08405;1133,154;1687,9333;863,08405
88;853,0213;1207,7589;1715,6075;863,08405
89;845,61755;1172,8129;1803,7656;853,0213
90;845,3819;1334,3384;1858,8867;845,61755
91;845,3819;1265,2075;1932,3318;845,3819
92;845,3819;1164,3994;1754,5398;845,3819
93;845,3819;1100,3226;1691,4923;845,3819
94;841,105;968,9021;1475,9706;845,3819
95;841,105;1133,3789;1710,8799;841,105
96;841,105;1275,5427;1934,0269;841,105
97;836,1891;1084,2367;1492,0167;841,105
98;835,1502;1076,4011;1608,0087;836,1891
99;826,69434;1302,8337;1945,7686;835,1502
100;826,69434;1178,5138;1760,9084;826,69434
101;823,3801;1012,0302;1461,0796;826,69434
102;823,3801;1177,4657;2045,8795;823,3801
103;823,3801;1240,2712;1751,5245;823,3801
104;823,3801;1086,154;1592,5369;823,3801
105;822,1264;955,71576;1471,6404;823,3801
106;822,1264;1263,7933;2103,9495;822,1264
107;818,5365;1191,4877;1854,9312;822,1264
108;817,2829;1249;1919,7618;818,5365
109;817,2829;1281,4495;1944,0953;817,2829
110;817,2829;1133,6392;1881,2075;817,2829
111;817,2829;966,49225;1653,3773;817,2829
112;817,2829;912,12854;1381,3024;817,2829
113;817,2829;889,19946;1252,3612;817,2829
114;817,2829;884,8922;1358,264;817,2829
115;817,2828;880,85236;1300,479;817,2829
116;816,67694;1107,8754;2050,9712;817,2828
117;816,67694;1155,23;1872,7163;816,67694
118;816,67694;1272,9119;2116,0964;816,67694
119;816,67694;1095,8431;1598,2643;816,67694
120;816,67694;923,21564;1356,0992;816,67694
121;816,67694;897,93536;1316,3268;816,67694
122;816,67694;880,5293;1326,5197;816,67694
123;816,67694;875,8281;1271,4152;816,67694
124;816,67694;888,8758;1411,4966;816,67694
125;816,67694;882,6169;1346,8936;816,67694
126;816,67694;876,43195;1243,179;816,67694
127;816,67694;880,62396;1295,3987;816,67694
128;816,67694;880,111;1197,7439;816,67694
129;816,67694;878,3366;1185,5197;816,67694
130;816,67694;888,5833;1370,994;816,67694
131;816,67694;878,57526;1241,9603;816,67694
132;816,67694;880,4446;1272,433;816,67694
133;816,67694;869,7918;1305,0216;816,67694
134;816,67694;886,8567;1357,374;816,67694
135;816,67694;889,1835;1325,1698;816,67694
136;816,67694;886,15735;1329,929;816,67694
137;816,67694;884,03766;1514,799;816,67694
138;816,67694;879,92535;1306,3762;816,67694
