;Current Best;Current Average;Current Worst;Global Best
0;1837,5552;2209,6235;2623,5693;1837,5552
1;1784,4392;2093,756;2528,2578;1784,4392
2;1768,2671;2025,533;2479,5283;1768,2671
3;1761,0111;1956,7672;2246,4326;1761,0111
4;1750,676;1943,8843;2339,4653;1750,676
5;1722,6772;1893,8439;2295,1753;1722,6772
6;1701,4674;1900,6936;2336,8855;1701,4674
7;1701,4674;1893,4203;2433,4795;1701,4674
8;1649,4318;1766,3829;2058,7012;1649,4318
9;1639,8987;1888,2212;2386,3323;1639,8987
10;1579,9513;1780,2538;2071,164;1579,9513
11;1574,7614;1765,0731;2219,0046;1574,7614
12;1556,1747;1733,4424;2232,1553;1556,1747
13;1556,1747;1745,3567;2169,7263;1556,1747
14;1547,444;1694,7015;2046,0099;1547,444
15;1509,8997;1725,9666;1966,1122;1509,8997
16;1458,8428;1740,3333;2232,1294;1458,8428
17;1450,112;1586,221;2076,186;1450,112
18;1450,112;1666,9319;2171,485;1450,112
19;1450,112;1618,0707;2082,2942;1450,112
20;1409,9613;1488,8544;1795,2167;1409,9613
21;1409,9613;1614,4214;2139,4158;1409,9613
22;1404,9215;1538,5406;2104,4888;1404,9215
23;1381,6016;1484,8204;2033,4344;1381,6016
24;1381,6016;1685,1488;2103,2634;1381,6016
25;1381,6016;1646,3918;2150,137;1381,6016
26;1381,6016;1610,4819;2188,901;1381,6016
27;1360,394;1513,7325;1962,5991;1360,394
28;1360,394;1577,9194;2054,0903;1360,394
29;1360,394;1475,8369;1874,2162;1360,394
30;1336,0591;1411,804;1724,5457;1336,0591
31;1336,0591;1475,9452;1907,5504;1336,0591
32;1327,1871;1453,9865;2173,2942;1327,1871
33;1295,8549;1530,1538;2122,911;1295,8549
34;1295,8549;1411,4348;1796,2341;1295,8549
35;1286,9828;1507,5411;2121,1384;1286,9828
36;1286,9828;1428,728;1856,1353;1286,9828
37;1285,5098;1455,4258;1959,4075;1285,5098
38;1285,5098;1387,0431;1976,3883;1285,5098
39;1284,1388;1390,1993;1847,6453;1284,1388
40;1284,1388;1368,2792;1788,1901;1284,1388
41;1284,1388;1348,5142;1641,4934;1284,1388
42;1284,1388;1485,5398;2008,5994;1284,1388
43;1283,9287;1358,5417;1978,4783;1283,9287
44;1268,1285;1357,4999;1780,7661;1268,1285
45;1267,9183;1412,3997;2033,4695;1267,9183
46;1260,3019;1443,2946;2088,15;1260,3019
47;1260,0917;1510,189;2193,0166;1260,0917
48;1260,0917;1387,4899;2158,0576;1260,0917
49;1260,0917;1307,8545;1827,3307;1260,0917
50;1260,0917;1356,5831;1782,5953;1260,0917
51;1260,0917;1373,9747;1884,7715;1260,0917
52;1251,1849;1336,5132;1916,6919;1251,1849
53;1251,1849;1306,7336;1788,9456;1251,1849
54;1243,8287;1343,8896;1733,5364;1243,8287
55;1234,9222;1328,2563;1658,5188;1234,9222
56;1234,9222;1318,5742;1732,6654;1234,9222
57;1225,7183;1361,6821;1940,5802;1225,7183
58;1225,7183;1320,0017;1965,7415;1225,7183
59;1225,7183;1318,1786;1797,2926;1225,7183
60;1225,7183;1289,2506;1650,3215;1225,7183
61;1225,7183;1280,6528;1713,7494;1225,7183
62;1225,7183;1357,6144;1736,4064;1225,7183
63;1225,7183;1285,4097;1715,5133;1225,7183
64;1225,7183;1291,6449;1736,4064;1225,7183
65;1225,7183;1281,9983;1928,4371;1225,7183
66;1225,7183;1316,102;1722,9144;1225,7183
67;1225,7183;1313,2322;1718,2832;1225,7183
68;1222,1707;1311,2812;1893,6753;1222,1707
69;1222,1707;1278,5361;1764,8507;1222,1707
70;1203,1882;1290,7942;1764,9487;1203,1882
71;1203,1882;1267,1982;1803,9935;1203,1882
72;1203,1882;1309,7284;1799,6892;1203,1882
73;1193,308;1384,5922;1866,897;1193,308
74;1193,308;1292,7601;1761,4153;1193,308
75;1191,0059;1282,0201;1622,4783;1191,0059
76;1191,0059;1328,241;1823,326;1191,0059
77;1191,0059;1324,1495;1926,2317;1191,0059
78;1188,5293;1290,1061;1725,4745;1188,5293
79;1188,5293;1244,2231;1619,2642;1188,5293
80;1188,5293;1309,9546;1817,4117;1188,5293
81;1172,4678;1272,2255;1735,5703;1172,4678
82;1169,9913;1287,0518;1671,828;1169,9913
83;1155,4419;1273,7021;1937,1013;1155,4419
84;1136,9039;1278,5826;1770,0846;1136,9039
85;1132,2141;1265,6093;1735,1423;1132,2141
86;1125,3405;1267,9153;1715,3589;1125,3405
87;1125,3405;1261,6536;1808,607;1125,3405
88;1132,2141;1228,6946;1600,8517;1125,3405
89;1132,2141;1295,9984;1984,4916;1125,3405
90;1132,2141;1239,9277;1726,0132;1125,3405
91;1132,2141;1223,0604;1754,1461;1125,3405
92;1132,2141;1220,2836;1816,7174;1125,3405
93;1132,2141;1234,1959;1668,6967;1125,3405
94;1132,2141;1192,8372;1673,8794;1125,3405
95;1132,2141;1209,4111;1613,8337;1125,3405
96;1132,2141;1207,869;1582,5552;1125,3405
97;1132,2141;1203,7875;1668,2058;1125,3405
98;1132,2141;1213,1738;1846,2355;1125,3405
99;1132,2141;1205,674;1623,8667;1125,3405
