;Current best;Global best
0;1006,11755;1006,11755
1;1006,11755;1006,11755
2;1006,11755;1006,11755
3;1007,53687;1006,11755
4;1004,2838;1004,2838
5;1004,2838;1004,2838
6;1004,2838;1004,2838
7;982,26917;982,26917
8;974,9902;974,9902
9;956,196;956,196
10;970,0052;956,196
11;956,196;956,196
12;956,196;956,196
13;956,196;956,196
14;981,5732;956,196
15;956,196;956,196
16;949,2473;949,2473
17;960,93524;949,2473
18;944,9704;944,9704
19;944,9704;944,9704
20;944,9704;944,9704
21;944,9704;944,9704
22;944,9704;944,9704
23;944,9704;944,9704
24;944,9704;944,9704
25;944,9704;944,9704
26;940,2175;940,2175
27;1024,9703;940,2175
28;952,30225;940,2175
29;1041,7509;940,2175
30;934,19635;934,19635
31;946,77924;934,19635
32;934,19635;934,19635
33;939,46027;934,19635
34;933,7758;933,7758
35;928,7469;928,7469
36;927,3847;927,3847
37;927,3847;927,3847
38;952,2175;927,3847
39;932,74347;927,3847
40;927,3847;927,3847
41;955,7173;927,3847
42;924,8427;924,8427
43;924,8427;924,8427
44;959,5315;924,8427
45;924,8427;924,8427
46;924,8427;924,8427
47;929,548;924,8427
48;930,2015;924,8427
49;932,499;924,8427
50;946,09546;924,8427
51;1019,96625;924,8427
52;933,3055;924,8427
53;924,8427;924,8427
54;924,8427;924,8427
55;938,78784;924,8427
56;924,8427;924,8427
57;924,8427;924,8427
58;924,8427;924,8427
59;928,8293;924,8427
60;1054,531;924,8427
61;924,8427;924,8427
62;924,8427;924,8427
63;924,8427;924,8427
64;924,8427;924,8427
65;924,8427;924,8427
66;924,8427;924,8427
67;938,4613;924,8427
68;924,8427;924,8427
69;941,20636;924,8427
70;924,8427;924,8427
71;924,8427;924,8427
72;928,46967;924,8427
73;963,80164;924,8427
74;924,8427;924,8427
75;924,8427;924,8427
76;928,46967;924,8427
77;924,8427;924,8427
78;924,8427;924,8427
79;924,8427;924,8427
80;930,2015;924,8427
81;924,8427;924,8427
82;924,8427;924,8427
83;952,6155;924,8427
84;1018,0656;924,8427
85;1084,7738;924,8427
86;924,8427;924,8427
87;928,1588;924,8427
88;938,78784;924,8427
89;954,7798;924,8427
90;924,8427;924,8427
91;926,80145;924,8427
92;924,8427;924,8427
93;1065,8529;924,8427
94;926,80145;924,8427
95;924,8427;924,8427
96;924,8427;924,8427
97;917,145;917,145
98;959,9902;917,145
99;931,58405;917,145
100;920,772;917,145
101;917,145;917,145
102;917,145;917,145
103;921,1154;917,145
