0; 450_950_0.71_0.01_139;944,77295;;;;;;;;;;;;;;
1; 450_950_0.71_0.01_139;875,16284;;;;;;;;;;;;;;
2; 450_950_0.71_0.01_139;911,7985;;;;;;;;;;;;;;
3; 450_950_0.71_0.01_139;978,56744;;;;;;;;;;;;;;
4; 450_950_0.71_0.01_139;901,7634;;;;;;;;;;;;;;
5; 450_950_0.71_0.01_139;935,94763;;;;;;;;;;;;;;
6; 450_950_0.71_0.01_139;958,3848;;;;;;;;;;;;;;
7; 450_950_0.71_0.01_139;856,0888;;;;;;;;;;;Best;Worst;Avg;Std
8; 450_950_0.71_0.01_139;936,94354;;Best;Worst;Avg;Std;;; 450_950_0.71_0.01_139;1122,3212;;856,0888;1122,3212;942,17511;69,69218817
9; 450_950_0.71_0.01_139;1122,3212;;856,0888;1122,3212;942,17511;69,69218817;;; 450_950_0.71_0.02_139;876,3477;;836,80914;1012,3696;911,722851;50,69009812
0; 450_950_0.71_0.02_139;836,80914;;;;;;;; 450_950_0.71_0.03_139;910,98236;;839,2204;994,39014;895,10088;41,31781855
1; 450_950_0.71_0.02_139;985,6774;;;;;;;; 450_950_0.71_0.04_139;892,53076;;838,20245;980,7301;888,543741;45,61082102
2; 450_950_0.71_0.02_139;880,22186;;;;;;;; 450_950_0.71_0.049999997_139;922,8621;;864,48114;961,69794;911,288688;32,63378751
3; 450_950_0.71_0.02_139;865,55756;;;;;;;; 450_950_0.71_0.059999995_139;864,3999;;827,13226;959,3688;885,772498;48,67197958
4; 450_950_0.71_0.02_139;1012,3696;;;;;;;; 450_950_0.71_0.06999999_139;897,71014;;847,6091;1002,1674;904,829759;47,40845806
5; 450_950_0.71_0.02_139;917,74225;;;;;;;; 450_950_0.71_0.07999999_139;939,67126;;815,9801;1004,0472;891,461236;61,3379024
6; 450_950_0.71_0.02_139;920,1307;;;;;;;; 450_950_0.71_0.08999999_139;844,4259;;844,4259;981,8061;894,636337;37,98841662
7; 450_950_0.71_0.02_139;910,3787;;;;;;;; 450_950_0.71_0.09999999_139;812,7855;;803,311;929,4578;863,63628;44,16513216
8; 450_950_0.71_0.02_139;911,9936;;Best;Worst;Avg;Std;;; 450_950_0.71_0.109999985_139;802,1264;;802,1264;949,59753;867,51068;38,49599437
9; 450_950_0.71_0.02_139;876,3477;;836,80914;1012,3696;911,722851;50,69009812;;; 450_950_0.71_0.11999998_139;888,57385;;830,9456;955,04425;863,137254;36,33205202
0; 450_950_0.71_0.03_139;866,3839;;;;;;;; 450_950_0.71_0.12999998_139;997,03253;;852,09076;997,03253;886,30697;39,52460426
1; 450_950_0.71_0.03_139;839,2204;;;;;;;; 450_950_0.71_0.13999999_139;864,2211;;818,67633;937,6788;868,173422;35,33274122
2; 450_950_0.71_0.03_139;884,4796;;;;;;;; 450_950_0.71_0.14999999_139;835,6916;;810,5735;1006,3201;876,629025;55,96712617
3; 450_950_0.71_0.03_139;861,3769;;;;;;;; 450_950_0.71_0.16_139;861,05927;;820,5758;870,90985;847,302982;14,28015909
4; 450_950_0.71_0.03_139;915,3661;;;;;;;; 450_950_0.71_0.17_139;896,53564;;811,069;921,3233;875,923668;32,32772979
5; 450_950_0.71_0.03_139;994,39014;;;;;;;; 450_950_0.71_0.18_139;855,3196;;836,54333;948,139;879,771565;36,11999205
6; 450_950_0.71_0.03_139;884,527;;;;;;;; 450_950_0.71_0.19000001_139;827,63007;;827,63007;887,3172;857,873982;21,92868091
7; 450_950_0.71_0.03_139;921,9688;;;;;;;; 450_950_0.71_0.20000002_139;843,95416;;812,7828;982,4153;876,375316;49,14690326
8; 450_950_0.71_0.03_139;872,3136;;Best;Worst;Avg;Std;;; 450_950_0.71_0.21000002_139;833,11676;;833,11676;980,7693;892,249013;46,06924061
9; 450_950_0.71_0.03_139;910,98236;;839,2204;994,39014;895,10088;41,31781855;;; 450_950_0.71_0.22000003_139;810,5735;;810,5735;885,45966;846,570994;25,05988119
0; 450_950_0.71_0.04_139;857,9115;;;;;;;; 450_950_0.71_0.23000003_139;853,9797;;836,3494;927,43896;859,564718;24,91320805
1; 450_950_0.71_0.04_139;926,11664;;;;;;;; 450_950_0.71_0.24000004_139;860,51965;;835,971;951,79175;869,980541;32,40060361
2; 450_950_0.71_0.04_139;853,71735;;;;;;;; 450_950_0.71_0.25000003_139;830,9457;;816,67694;896,0816;845,737135;29,86826644
3; 450_950_0.71_0.04_139;949,14905;;;;;;;; 450_950_0.71_0.26000002_139;827,74963;;817,1959;892,44403;846,780219;24,72055933
4; 450_950_0.71_0.04_139;838,20245;;;;;;;; 450_950_0.71_0.27_139;847,25836;;820,5758;906,45746;850,088372;24,35024719
5; 450_950_0.71_0.04_139;980,7301;;;;;;;; 450_950_0.71_0.28_139;846,83466;;821,03015;904,3762;848,479501;21,84601442
6; 450_950_0.71_0.04_139;875,9903;;;;;;;; 450_950_0.71_0.29_139;844,2128;;810,5735;958,4311;863,728794;42,93404736
7; 450_950_0.71_0.04_139;845,96356;;;;;;;; 450_950_0.71_0.29999998_139;852,116;;818,8179;912,60815;855,863188;25,6400153
8; 450_950_0.71_0.04_139;865,1257;;Best;Worst;Avg;Std;;; 450_950_0.71_0.30999997_139;860,01306;;802,6007;899,7324;848,584631;30,15614756
9; 450_950_0.71_0.04_139;892,53076;;838,20245;980,7301;888,543741;45,61082102;;; 450_950_0.71_0.31999996_139;811,1895;;807,88153;922,1225;852,440113;34,78545313
0; 450_950_0.71_0.049999997_139;876,956;;;;;;;; 450_950_0.71_0.32999995_139;824,8298;;821,03015;894,9817;850,838597;22,28821098
1; 450_950_0.71_0.049999997_139;924,5802;;;;;;;; 450_950_0.71_0.33999994_139;853,05707;;807,69635;866,165;836,70849;17,28251412
2; 450_950_0.71_0.049999997_139;870,4622;;;;;;;; 450_950_0.71_0.34999993_139;837,3199;;804,0378;855,74524;830,238482;19,22349112
3; 450_950_0.71_0.049999997_139;917,1934;;;;;;;; 450_950_0.71_0.35999992_139;841,5925;;810,5735;980,77625;852,357598;44,23756051
4; 450_950_0.71_0.049999997_139;958,927;;;;;;;;;;;;;;
5; 450_950_0.71_0.049999997_139;864,48114;;;;;;;;;;;;;;
6; 450_950_0.71_0.049999997_139;961,69794;;;;;;;;;;;;;;
7; 450_950_0.71_0.049999997_139;922,5896;;;;;;;;;;;;;;
8; 450_950_0.71_0.049999997_139;893,1373;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.049999997_139;922,8621;;864,48114;961,69794;911,288688;32,63378751;;;;;;;;;
0; 450_950_0.71_0.059999995_139;959,3688;;;;;;;;;;;;;;
1; 450_950_0.71_0.059999995_139;953,31;;;;;;;;;;;;;;
2; 450_950_0.71_0.059999995_139;837,55536;;;;;;;;;;;;;;
3; 450_950_0.71_0.059999995_139;846,43994;;;;;;;;;;;;;;
4; 450_950_0.71_0.059999995_139;863,81116;;;;;;;;;;;;;;
5; 450_950_0.71_0.059999995_139;887,2449;;;;;;;;;;;;;;
6; 450_950_0.71_0.059999995_139;827,13226;;;;;;;;;;;;;;
7; 450_950_0.71_0.059999995_139;955,91846;;;;;;;;;;;;;;
8; 450_950_0.71_0.059999995_139;862,5442;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.059999995_139;864,3999;;827,13226;959,3688;885,772498;48,67197958;;;;;;;;;
0; 450_950_0.71_0.06999999_139;855,3536;;;;;;;;;;;;;;
1; 450_950_0.71_0.06999999_139;847,6091;;;;;;;;;;;;;;
2; 450_950_0.71_0.06999999_139;949,428;;;;;;;;;;;;;;
3; 450_950_0.71_0.06999999_139;872,2524;;;;;;;;;;;;;;
4; 450_950_0.71_0.06999999_139;1002,1674;;;;;;;;;;;;;;
5; 450_950_0.71_0.06999999_139;953,18335;;;;;;;;;;;;;;
6; 450_950_0.71_0.06999999_139;912,1121;;;;;;;;;;;;;;
7; 450_950_0.71_0.06999999_139;894,688;;;;;;;;;;;;;;
8; 450_950_0.71_0.06999999_139;863,7935;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.06999999_139;897,71014;;847,6091;1002,1674;904,829759;47,40845806;;;;;;;;;
0; 450_950_0.71_0.07999999_139;815,9801;;;;;;;;;;;;;;
1; 450_950_0.71_0.07999999_139;854,33484;;;;;;;;;;;;;;
2; 450_950_0.71_0.07999999_139;988,61096;;;;;;;;;;;;;;
3; 450_950_0.71_0.07999999_139;873,87134;;;;;;;;;;;;;;
4; 450_950_0.71_0.07999999_139;855,9173;;;;;;;;;;;;;;
5; 450_950_0.71_0.07999999_139;894,1344;;;;;;;;;;;;;;
6; 450_950_0.71_0.07999999_139;1004,0472;;;;;;;;;;;;;;
7; 450_950_0.71_0.07999999_139;840,21826;;;;;;;;;;;;;;
8; 450_950_0.71_0.07999999_139;847,8267;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.07999999_139;939,67126;;815,9801;1004,0472;891,461236;61,3379024;;;;;;;;;
0; 450_950_0.71_0.08999999_139;906,4267;;;;;;;;;;;;;;
1; 450_950_0.71_0.08999999_139;910,068;;;;;;;;;;;;;;
2; 450_950_0.71_0.08999999_139;873,8159;;;;;;;;;;;;;;
3; 450_950_0.71_0.08999999_139;870,2303;;;;;;;;;;;;;;
4; 450_950_0.71_0.08999999_139;892,5129;;;;;;;;;;;;;;
5; 450_950_0.71_0.08999999_139;850,69763;;;;;;;;;;;;;;
6; 450_950_0.71_0.08999999_139;981,8061;;;;;;;;;;;;;;
7; 450_950_0.71_0.08999999_139;890,83014;;;;;;;;;;;;;;
8; 450_950_0.71_0.08999999_139;925,5498;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.08999999_139;844,4259;;844,4259;981,8061;894,636337;37,98841662;;;;;;;;;
0; 450_950_0.71_0.09999999_139;907,85736;;;;;;;;;;;;;;
1; 450_950_0.71_0.09999999_139;803,311;;;;;;;;;;;;;;
2; 450_950_0.71_0.09999999_139;901,53204;;;;;;;;;;;;;;
3; 450_950_0.71_0.09999999_139;824,9179;;;;;;;;;;;;;;
4; 450_950_0.71_0.09999999_139;853,3707;;;;;;;;;;;;;;
5; 450_950_0.71_0.09999999_139;817,8442;;;;;;;;;;;;;;
6; 450_950_0.71_0.09999999_139;901,9269;;;;;;;;;;;;;;
7; 450_950_0.71_0.09999999_139;883,3594;;;;;;;;;;;;;;
8; 450_950_0.71_0.09999999_139;929,4578;;Best;Worst;Avg;Std;;;;;;;;;
9; 450_950_0.71_0.09999999_139;812,7855;;803,311;929,4578;863,63628;44,16513216;;;;;;;;;
0; 450_950_0.71_0.109999985_139;906,2729;;;;;;;;;;;;;;
