;pop_size;gen;px;pm;tour;;;;;;;;;pop_size;gen;;;;;;;;Best;Worst;Average
0;100;100;0.7;0.1;20;;;987,1289;;;;;;100;100;0.7;0.1;20;0;0;1060,2893;0;906,2336;1060,2893;986,4639
1;100;100;0.7;0.1;20;;;906,2336;;;;;;100;150;0.7;0.1;20;0;0;940,79443;0;910,2622;1092,2671;983,324432
2;100;100;0.7;0.1;20;;;1010,604;;;;;;100;200;0.7;0.1;20;0;0;955,6658;0;837,7157;1029,935;939,742588
3;100;100;0.7;0.1;20;;;949,5011;;;;;;100;250;0.7;0.1;20;0;0;952,1532;0;848,60034;1002,3602;927,304447
4;100;100;0.7;0.1;20;;;945,3926;;;;;;100;300;0.7;0.1;20;0;0;880,7438;0;837,81384;1036,6384;920,487053
5;100;100;0.7;0.1;20;;;937,2677;;;;;;100;350;0.7;0.1;20;0;0;984,7571;0;855,2126;984,7571;896,400901
6;100;100;0.7;0.1;20;;;1010,7594;;;;;;100;400;0.7;0.1;20;0;0;918,3623;0;837,3114;1022,0072;931,197269
7;100;100;0.7;0.1;20;;;1017,3159;;;;;;100;450;0.7;0.1;20;0;0;899,8647;0;831,5716;1051,6447;946,343943
8;100;100;0.7;0.1;20;;;1040,1465;;Best;Worst;Average;;100;500;0.7;0.1;20;0;0;1040,8552;0;820,14777;1050,7329;916,990728
9;100;100;0.7;0.1;20;;;1060,2893;;906,2336;1060,2893;986,4639;;100;550;0.7;0.1;20;0;0;862,038;0;820,2066;1063,7382;884,693745
0;100;150;0.7;0.1;20;;;943,8408;;;;;;100;600;0.7;0.1;20;0;0;915,7722;0;864,511;985,6653;922,697362
1;100;150;0.7;0.1;20;;;1091,6382;;;;;;100;650;0.7;0.1;20;0;0;876,1893;0;823,20215;903,4392;858,594316
2;100;150;0.7;0.1;20;;;968,23364;;;;;;100;700;0.7;0.1;20;0;0;1083,9827;0;820,6963;1083,9827;908,381099
3;100;150;0.7;0.1;20;;;911,9703;;;;;;100;750;0.7;0.1;20;0;0;969,34326;0;842,5283;1097,4254;936,132874
4;100;150;0.7;0.1;20;;;980,4788;;;;;;100;800;0.7;0.1;20;0;0;887,9869;0;867,3062;1031,5311;929,115598
5;100;150;0.7;0.1;20;;;1092,2671;;;;;;100;850;0.7;0.1;20;0;0;839,1036;0;839,1036;1039,4929;921,42284
6;100;150;0.7;0.1;20;;;1020,2171;;;;;;100;900;0.7;0.1;20;0;0;926,31305;0;817,03845;1014,3992;893,696018
7;100;150;0.7;0.1;20;;;973,54175;;;;;;100;950;0.7;0.1;20;0;0;911,1906;0;850,51245;998,91724;913,803193
8;100;150;0.7;0.1;20;;;910,2622;;Best;Worst;Average;;100;1000;0.7;0.1;20;0;0;835,8654;0;831,82825;1048,3196;917,491364
9;100;150;0.7;0.1;20;;;940,79443;;910,2622;1092,2671;983,324432;;150;100;0.7;0.1;30;0;0;878,478;0;878,478;1027,0039;941,200023
0;100;200;0.7;0.1;20;;;837,72943;;;;;;150;150;0.7;0.1;30;0;0;928,429;0;915,74884;1038,562;966,850037
1;100;200;0.7;0.1;20;;;943,0114;;;;;;150;200;0.7;0.1;30;0;0;971,57605;0;836,42944;1004,9221;928,898159
2;100;200;0.7;0.1;20;;;837,7157;;;;;;150;250;0.7;0.1;30;0;0;936,935;0;817,9923;955,86536;918,318851
3;100;200;0.7;0.1;20;;;980,5601;;;;;;150;300;0.7;0.1;30;0;0;892,929;0;831,4789;948,7429;879,040967
4;100;200;0.7;0.1;20;;;1029,935;;;;;;150;350;0.7;0.1;30;0;0;912,17926;0;832,4846;927,74524;875,735614
5;100;200;0.7;0.1;20;;;893,1464;;;;;;150;400;0.7;0.1;30;0;0;882,30585;0;830,26825;985,5385;892,604731
6;100;200;0.7;0.1;20;;;900,94324;;;;;;150;450;0.7;0.1;30;0;0;812,7855;0;812,7855;1017,2156;920,518182
7;100;200;0.7;0.1;20;;;1001,44366;;;;;;150;500;0.7;0.1;30;0;0;922,38074;0;853,6405;994,45416;918,131702
8;100;200;0.7;0.1;20;;;1017,27515;;Best;Worst;Average;;150;550;0.7;0.1;30;0;0;972,98395;0;825,3283;1039,8186;933,986887
9;100;200;0.7;0.1;20;;;955,6658;;837,7157;1029,935;939,742588;;150;600;0.7;0.1;30;0;0;999,17456;0;863,078;1058,8938;931,693721
0;100;250;0.7;0.1;20;;;951,63184;;;;;;150;650;0.7;0.1;30;0;0;911,1734;0;820,57574;997,56323;893,035768
1;100;250;0.7;0.1;20;;;900,90546;;;;;;150;700;0.7;0.1;30;0;0;959,22034;0;834,14966;959,22034;877,35315
2;100;250;0.7;0.1;20;;;968,1613;;;;;;150;750;0.7;0.1;30;0;0;966,6244;0;858,75354;1059,323;936,204964
3;100;250;0.7;0.1;20;;;910,99384;;;;;;150;800;0.7;0.1;30;0;0;909,8129;0;835,64703;1017,1907;887,723263
4;100;250;0.7;0.1;20;;;848,60034;;;;;;150;850;0.7;0.1;30;0;0;880,9405;0;848,75726;933,6892;886,284252
5;100;250;0.7;0.1;20;;;882,47266;;;;;;150;900;0.7;0.1;30;0;0;963,28394;0;837,37;1052,6372;902,485196
6;100;250;0.7;0.1;20;;;879,95746;;;;;;150;950;0.7;0.1;30;0;0;928,1661;0;825,94006;928,1661;876,1873
7;100;250;0.7;0.1;20;;;975,80817;;;;;;150;1000;0.7;0.1;30;0;0;940,83075;0;845,7015;940,83075;890,060588
8;100;250;0.7;0.1;20;;;1002,3602;;Best;Worst;Average;;200;100;0.7;0.1;40;0;0;962,8988;0;825,44714;994,94446;934,604486
9;100;250;0.7;0.1;20;;;952,1532;;848,60034;1002,3602;927,304447;;200;150;0.7;0.1;40;0;0;821,97296;0;821,97296;986,3481;917,419409
0;100;300;0.7;0.1;20;;;870,40015;;;;;;200;200;0.7;0.1;40;0;0;1065,4762;0;836,62634;1065,4762;942,335349
1;100;300;0.7;0.1;20;;;851,5818;;;;;;200;250;0.7;0.1;40;0;0;902,0334;0;840,4197;952,6593;892,875551
2;100;300;0.7;0.1;20;;;837,81384;;;;;;200;300;0.7;0.1;40;0;0;826,699;0;826,699;1020,7048;896,870466
3;100;300;0.7;0.1;20;;;901,3811;;;;;;200;350;0.7;0.1;40;0;0;901,9937;0;831,33984;1032,4509;910,052352
4;100;300;0.7;0.1;20;;;946,37384;;;;;;200;400;0.7;0.1;40;0;0;851,2637;0;851,2637;1046,0614;922,945969
5;100;300;0.7;0.1;20;;;956,9154;;;;;;200;450;0.7;0.1;40;0;0;963,98785;0;811,94794;1040,5082;897,703936
6;100;300;0.7;0.1;20;;;1036,6384;;;;;;200;500;0.7;0.1;40;0;0;928,1898;0;802,1264;989,7531;879,286672
7;100;300;0.7;0.1;20;;;980,8526;;;;;;200;550;0.7;0.1;40;0;0;893,5726;0;809,4126;1046,0371;924,826205
8;100;300;0.7;0.1;20;;;942,1696;;Best;Worst;Average;;200;600;0.7;0.1;40;0;0;883,7348;0;842,6923;1067,7909;903,522146
9;100;300;0.7;0.1;20;;;880,7438;;837,81384;1036,6384;920,487053;;200;650;0.7;0.1;40;0;0;921,9635;0;812,90607;983,1403;901,692887
0;100;350;0.7;0.1;20;;;914,67944;;;;;;200;700;0.7;0.1;40;0;0;963,6769;0;851,42456;1024,5034;911,526773
1;100;350;0.7;0.1;20;;;855,2126;;;;;;200;750;0.7;0.1;40;0;0;887,7447;0;822,1068;941,2595;872,873536
2;100;350;0.7;0.1;20;;;861,4188;;;;;;200;800;0.7;0.1;40;0;0;978,5977;0;812,3229;978,5977;894,931786
3;100;350;0.7;0.1;20;;;946,4552;;;;;;200;850;0.7;0.1;40;0;0;905,211;0;824,4749;1036,8289;932,114435
4;100;350;0.7;0.1;20;;;875,1096;;;;;;200;900;0.7;0.1;40;0;0;911,38544;0;854,6792;1024,5597;908,393593
5;100;350;0.7;0.1;20;;;865,20734;;;;;;200;950;0.7;0.1;40;0;0;1049,0465;0;825,97705;1049,0465;905,299955
6;100;350;0.7;0.1;20;;;897,7702;;;;;;200;1000;0.7;0.1;40;0;0;987,5719;0;835,4481;987,5719;898,713118
7;100;350;0.7;0.1;20;;;874,09753;;;;;;250;100;0.7;0.1;50;0;0;956,1248;0;811,7958;1009,351;917,218644
8;100;350;0.7;0.1;20;;;889,3012;;Best;Worst;Average;;250;150;0.7;0.1;50;0;0;867,12897;0;855,1551;949,55145;896,842146
9;100;350;0.7;0.1;20;;;984,7571;;855,2126;984,7571;896,400901;;250;200;0.7;0.1;50;0;0;985,1736;0;807,1653;1038,2032;909,135753
0;100;400;0.7;0.1;20;;;926,8432;;;;;;250;250;0.7;0.1;50;0;0;919,67053;0;835,242;1057,7479;926,100375
1;100;400;0.7;0.1;20;;;899,706;;;;;;250;300;0.7;0.1;50;0;0;823,02704;0;812,9033;988,94476;890,072797
2;100;400;0.7;0.1;20;;;970,9368;;;;;;250;350;0.7;0.1;50;0;0;849,0702;0;849,0702;979,22437;919,480484
3;100;400;0.7;0.1;20;;;951,0322;;;;;;250;400;0.7;0.1;50;0;0;921,84467;0;834,98395;1018,762;906,747746
4;100;400;0.7;0.1;20;;;1022,0072;;;;;;250;450;0.7;0.1;50;0;0;998,5319;0;813,5123;1084,4077;929,903607
5;100;400;0.7;0.1;20;;;959,39624;;;;;;250;500;0.7;0.1;50;0;0;959,6703;0;836,3872;981,39355;926,559195
6;100;400;0.7;0.1;20;;;889,6832;;;;;;250;550;0.7;0.1;50;0;0;834,4783;0;832,6746;994,5916;890,589757
7;100;400;0.7;0.1;20;;;936,69415;;;;;;250;600;0.7;0.1;50;0;0;958,6213;0;840,7332;974,826;889,167458
8;100;400;0.7;0.1;20;;;837,3114;;Best;Worst;Average;;250;650;0.7;0.1;50;0;0;920,47546;0;837,37;951,23706;884,897159
9;100;400;0.7;0.1;20;;;918,3623;;837,3114;1022,0072;931,197269;;250;700;0.7;0.1;50;0;0;980,4006;0;840,7382;1041,5714;919,446872
0;100;450;0.7;0.1;20;;;927,01953;;;;;;250;750;0.7;0.1;50;0;0;833,56464;0;820,6963;926,32324;873,722992
1;100;450;0.7;0.1;20;;;875,0287;;;;;;250;800;0.7;0.1;50;0;0;904,5681;0;851,8107;972,2952;905,879355
2;100;450;0.7;0.1;20;;;920,4517;;;;;;250;850;0.7;0.1;50;0;0;866,5666;0;817,08307;991,7504;901,761676
3;100;450;0.7;0.1;20;;;1049,3373;;;;;;250;900;0.7;0.1;50;0;0;995,06915;0;845,69055;1070,0378;938,34359
4;100;450;0.7;0.1;20;;;831,5716;;;;;;250;950;0.7;0.1;50;0;0;840,619;0;837,2803;893,69806;859,274447
5;100;450;0.7;0.1;20;;;1033,5696;;;;;;250;1000;0.7;0.1;50;0;0;953,21436;0;835,817;953,299;894,351387
6;100;450;0.7;0.1;20;;;997,3457;;;;;;300;100;0.7;0.1;60;0;0;908,01654;0;832,7216;1069,5858;929,343005
7;100;450;0.7;0.1;20;;;877,6059;;;;;;300;150;0.7;0.1;60;0;0;960,3173;0;835,90875;1066,4946;948,032678
8;100;450;0.7;0.1;20;;;1051,6447;;Best;Worst;Average;;300;200;0.7;0.1;60;0;0;914,2657;0;823,9383;1025,5869;918,661595
9;100;450;0.7;0.1;20;;;899,8647;;831,5716;1051,6447;946,343943;;300;250;0.7;0.1;60;0;0;858,9144;0;804,6854;1053,2812;911,497989
0;100;500;0.7;0.1;20;;;898,6615;;;;;;300;300;0.7;0.1;60;0;0;990,2156;0;816,79755;990,2156;892,980602
1;100;500;0.7;0.1;20;;;821,97296;;;;;;300;350;0.7;0.1;60;0;0;846,81824;0;840,36053;976,6316;891,928593
2;100;500;0.7;0.1;20;;;900,7895;;;;;;300;400;0.7;0.1;60;0;0;836,90466;0;836,90466;970,7772;884,28638
3;100;500;0.7;0.1;20;;;943,70605;;;;;;300;450;0.7;0.1;60;0;0;902,4561;0;812,9033;913,99744;885,206458
4;100;500;0.7;0.1;20;;;820,14777;;;;;;300;500;0.7;0.1;60;0;0;897,9612;0;818,84467;967,09827;889,720767
5;100;500;0.7;0.1;20;;;898,3409;;;;;;300;550;0.7;0.1;60;0;0;865,5742;0;818,95294;919,5246;867,90727
6;100;500;0.7;0.1;20;;;936,5001;;;;;;300;600;0.7;0.1;60;0;0;873,7909;0;830,7645;1095,3403;900,327581
7;100;500;0.7;0.1;20;;;1050,7329;;;;;;300;650;0.7;0.1;60;0;0;864,38306;0;853,2764;996,1838;914,266824
8;100;500;0.7;0.1;20;;;858,2004;;Best;Worst;Average;;300;700;0.7;0.1;60;0;0;901,07605;0;851,3398;987,9674;900,637152
9;100;500;0.7;0.1;20;;;1040,8552;;820,14777;1050,7329;916,990728;;300;750;0.7;0.1;60;0;0;843,122;0;830,9457;925,3084;860,335719
0;100;550;0.7;0.1;20;;;864,1089;;;;;;300;800;0.7;0.1;60;0;0;921,17255;0;820,5758;1000,4225;914,564721
1;100;550;0.7;0.1;20;;;900,2106;;;;;;300;850;0.7;0.1;60;0;0;942,4083;0;812,7828;978,0102;883,672685
2;100;550;0.7;0.1;20;;;820,2066;;;;;;300;900;0.7;0.1;60;0;0;954,4917;0;823,34894;954,4917;885,37814
3;100;550;0.7;0.1;20;;;822,1264;;;;;;300;950;0.7;0.1;60;0;0;871,4621;0;797,87177;968,7892;871,127172
4;100;550;0.7;0.1;20;;;848,04016;;;;;;300;1000;0.7;0.1;60;0;0;1023,52625;0;832,5237;1023,52625;907,647781
5;100;550;0.7;0.1;20;;;893,32355;;;;;;350;100;0.7;0.1;70;0;0;861,7625;0;824,98065;1011,448;899,739525
6;100;550;0.7;0.1;20;;;871,66364;;;;;;350;150;0.7;0.1;70;0;0;952,9978;0;803,39355;992,2515;878,277583
7;100;550;0.7;0.1;20;;;1063,7382;;;;;;350;200;0.7;0.1;70;0;0;908,18384;0;838,47345;948,8753;890,688809
8;100;550;0.7;0.1;20;;;901,4814;;Best;Worst;Average;;350;250;0.7;0.1;70;0;0;837,5515;0;816,64874;965,26575;877,901686
9;100;550;0.7;0.1;20;;;862,038;;820,2066;1063,7382;884,693745;;350;300;0.7;0.1;70;0;0;873,293;0;823,0817;941,33527;866,479939
0;100;600;0.7;0.1;20;;;985,6653;;;;;;350;350;0.7;0.1;70;0;0;822,4798;0;822,4798;974,2905;877,595273
1;100;600;0.7;0.1;20;;;907,5802;;;;;;350;400;0.7;0.1;70;0;0;874,4675;0;829,80774;1080,7844;905,595408
2;100;600;0.7;0.1;20;;;864,511;;;;;;350;450;0.7;0.1;70;0;0;944,17346;0;820,7445;1019,9186;900,826461
3;100;600;0.7;0.1;20;;;934,6942;;;;;;350;500;0.7;0.1;70;0;0;874,3009;0;847,5114;973,0175;894,246908
4;100;600;0.7;0.1;20;;;868,0922;;;;;;350;550;0.7;0.1;70;0;0;934,26025;0;815,552;968,1345;880,73829
5;100;600;0.7;0.1;20;;;957,01013;;;;;;350;600;0.7;0.1;70;0;0;945,33624;0;797,87177;945,33624;873,054248
6;100;600;0.7;0.1;20;;;948,19305;;;;;;350;650;0.7;0.1;70;0;0;980,531;0;823,1403;1014,19226;907,329651
7;100;600;0.7;0.1;20;;;976,4236;;;;;;350;700;0.7;0.1;70;0;0;926,0793;0;804,06476;1016,1267;868,884787
8;100;600;0.7;0.1;20;;;869,03174;;Best;Worst;Average;;350;750;0.7;0.1;70;0;0;839,053;0;836,8242;931,32935;879,742278
9;100;600;0.7;0.1;20;;;915,7722;;864,511;985,6653;922,697362;;350;800;0.7;0.1;70;0;0;913,43195;0;819,57916;929,51025;877,877551
0;100;650;0.7;0.1;20;;;828,864;;;;;;350;850;0.7;0.1;70;0;0;832,9737;0;812,7828;912,9294;877,229668
1;100;650;0.7;0.1;20;;;823,20215;;;;;;350;900;0.7;0.1;70;0;0;858,2268;0;837,55536;959,63293;880,150908
2;100;650;0.7;0.1;20;;;835,5787;;;;;;350;950;0.7;0.1;70;0;0;937,2075;0;815,14545;992,2809;885,660601
3;100;650;0.7;0.1;20;;;846,52;;;;;;350;1000;0.7;0.1;70;0;0;978,31915;0;835,0131;978,31915;884,55394
4;100;650;0.7;0.1;20;;;903,4392;;;;;;400;100;0.7;0.1;80;0;0;896,57446;0;839,053;1046,6929;924,701636
5;100;650;0.7;0.1;20;;;860,80896;;;;;;400;150;0.7;0.1;80;0;0;817,6225;0;802,1264;993,6311;886,185822
