0; 450_950_0.05_0.1_90;1419,4501;;;;;;;;;;;;;;
1; 450_950_0.05_0.1_90;1421,136;;;;;;;;;;;;;;
2; 450_950_0.05_0.1_90;1393,689;;;;;;;;;;;;;;
3; 450_950_0.05_0.1_90;1509,5696;;;;;;;;;;;;;;
4; 450_950_0.05_0.1_90;1475,4569;;;;;;;;;;;;;;
5; 450_950_0.05_0.1_90;1365,3872;;;;;;;;;;;;;;
6; 450_950_0.05_0.1_90;1493,4303;;;;;;;;;;;;;;
7; 450_950_0.05_0.1_90;1455,9144;;;;;;;;;;;Best;Worst;Average;Std
8; 450_950_0.05_0.1_90;1466,2512;;Best;Worst;Average;Std;;; 450_950_0.05_0.1_90;1449,9889;;1365,3872;1509,5696;1445,02736;42,69809569
9; 450_950_0.05_0.1_90;1449,9889;;1365,3872;1509,5696;1445,02736;42,69809569;;; 450_950_0.1_0.1_90;1321,6575;;1271,826;1368,6877;1326,37023;27,93472896
0; 450_950_0.1_0.1_90;1305,3975;;;;;;;; 450_950_0.15_0.1_90;1117,9043;;995,2854;1183,6232;1096,28141;51,27566002
1; 450_950_0.1_0.1_90;1327,0698;;;;;;;; 450_950_0.2_0.1_90;927,695;;866,842;970,6221;903,708813;30,4022753
2; 450_950_0.1_0.1_90;1368,6877;;;;;;;; 450_950_0.25_0.1_90;936,9651;;881,7518;1008,00555;936,375192;42,16894215
3; 450_950_0.1_0.1_90;1335,2139;;;;;;;; 450_950_0.3_0.1_90;908,3731;;880,6769;953,316;929,148526;23,15774351
4; 450_950_0.1_0.1_90;1271,826;;;;;;;; 450_950_0.35000002_0.1_90;963,9904;;833,6883;975,63983;932,714917;41,87731517
5; 450_950_0.1_0.1_90;1327,3634;;;;;;;; 450_950_0.40000004_0.1_90;889,32056;;836,2417;951,47217;902,095053;35,99375613
6; 450_950_0.1_0.1_90;1353,8202;;;;;;;; 450_950_0.45000005_0.1_90;1079,2009;;850,1601;1079,2009;932,164644;64,99723432
7; 450_950_0.1_0.1_90;1296,8171;;;;;;;; 450_950_0.50000006_0.1_90;1015,8312;;891,43463;1015,8312;937,604456;33,07417363
8; 450_950_0.1_0.1_90;1355,8492;;Best;Worst;Average;Std;;; 450_950_0.5500001_0.1_90;906,3377;;842,92145;976,94037;918,697918;38,33553378
9; 450_950_0.1_0.1_90;1321,6575;;1271,826;1368,6877;1326,37023;27,93472896;;; 450_950_0.6000001_0.1_90;895,7636;;866,1911;1059,7649;938,322041;48,26793232
0; 450_950_0.15_0.1_90;1043,7158;;;;;;;; 450_950_0.6500001_0.1_90;937,2151;;896,148;1007,4757;944,641465;36,99597435
1; 450_950_0.15_0.1_90;1105,9126;;;;;;;; 450_950_0.7000001_0.1_90;913,6428;;850,48755;1027,7008;924,001061;45,47913759
2; 450_950_0.15_0.1_90;1102,57;;;;;;;; 450_950_0.7500001_0.1_90;887,4563;;876,4438;984,4608;920,585429;31,94268114
3; 450_950_0.15_0.1_90;995,2854;;;;;;;; 450_950_0.80000013_0.1_90;933,6476;;838,1096;1028,2808;957,282323;53,13947343
4; 450_950_0.15_0.1_90;1046,2979;;;;;;;; 450_950_0.85000014_0.1_90;962,8179;;891,21686;1043,1996;971,197747;43,67370736
5; 450_950_0.15_0.1_90;1108,8772;;;;;;;; 450_950_0.90000015_0.1_90;994,8602;;852,5316;1004,88525;931,784307;47,0161665
6; 450_950_0.15_0.1_90;1117,8932;;;;;;;; 450_950_0.95000017_0.1_90;1027,1018;;882,9966;1027,1018;941,862522;51,2217784
7; 450_950_0.15_0.1_90;1140,7345;;;;;;;; 450_950_1.0000001_0.1_90;922,85364;;870,6944;1034,611;956,805827;57,31561777
8; 450_950_0.15_0.1_90;1183,6232;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.15_0.1_90;1117,9043;;995,2854;1183,6232;1096,28141;51,27566002;;;;;;;;;
0; 450_950_0.2_0.1_90;895,6987;;;;;;;;;;;;;;
1; 450_950_0.2_0.1_90;895,8817;;;;;;;;;;;;;;
2; 450_950_0.2_0.1_90;868,00757;;;;;;;;;;;;;;
3; 450_950_0.2_0.1_90;970,6221;;;;;;;;;;;;;;
4; 450_950_0.2_0.1_90;877,5746;;;;;;;;;;;;;;
5; 450_950_0.2_0.1_90;930,23926;;;;;;;;;;;;;;
6; 450_950_0.2_0.1_90;866,842;;;;;;;;;;;;;;
7; 450_950_0.2_0.1_90;906,7387;;;;;;;;;;;;;;
8; 450_950_0.2_0.1_90;897,7885;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.2_0.1_90;927,695;;866,842;970,6221;903,708813;30,4022753;;;;;;;;;
0; 450_950_0.25_0.1_90;890,4695;;;;;;;;;;;;;;
1; 450_950_0.25_0.1_90;973,71204;;;;;;;;;;;;;;
2; 450_950_0.25_0.1_90;912,03394;;;;;;;;;;;;;;
3; 450_950_0.25_0.1_90;881,7518;;;;;;;;;;;;;;
4; 450_950_0.25_0.1_90;945,9302;;;;;;;;;;;;;;
5; 450_950_0.25_0.1_90;899,521;;;;;;;;;;;;;;
6; 450_950_0.25_0.1_90;997,78076;;;;;;;;;;;;;;
7; 450_950_0.25_0.1_90;1008,00555;;;;;;;;;;;;;;
8; 450_950_0.25_0.1_90;917,58203;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.25_0.1_90;936,9651;;881,7518;1008,00555;936,375192;42,16894215;;;;;;;;;
0; 450_950_0.3_0.1_90;931,3887;;;;;;;;;;;;;;
1; 450_950_0.3_0.1_90;880,6769;;;;;;;;;;;;;;
2; 450_950_0.3_0.1_90;946,73016;;;;;;;;;;;;;;
3; 450_950_0.3_0.1_90;952,2123;;;;;;;;;;;;;;
4; 450_950_0.3_0.1_90;953,316;;;;;;;;;;;;;;
5; 450_950_0.3_0.1_90;944,9961;;;;;;;;;;;;;;
6; 450_950_0.3_0.1_90;901,0324;;;;;;;;;;;;;;
7; 450_950_0.3_0.1_90;934,75;;;;;;;;;;;;;;
8; 450_950_0.3_0.1_90;938,0096;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.3_0.1_90;908,3731;;880,6769;953,316;929,148526;23,15774351;;;;;;;;;
0; 450_950_0.35000002_0.1_90;957,67535;;;;;;;;;;;;;;
1; 450_950_0.35000002_0.1_90;975,63983;;;;;;;;;;;;;;
2; 450_950_0.35000002_0.1_90;833,6883;;;;;;;;;;;;;;
3; 450_950_0.35000002_0.1_90;965,1639;;;;;;;;;;;;;;
4; 450_950_0.35000002_0.1_90;945,42285;;;;;;;;;;;;;;
5; 450_950_0.35000002_0.1_90;900,8887;;;;;;;;;;;;;;
6; 450_950_0.35000002_0.1_90;962,05994;;;;;;;;;;;;;;
7; 450_950_0.35000002_0.1_90;899,4296;;;;;;;;;;;;;;
8; 450_950_0.35000002_0.1_90;923,1903;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.35000002_0.1_90;963,9904;;833,6883;975,63983;932,714917;41,87731517;;;;;;;;;
0; 450_950_0.40000004_0.1_90;929,5459;;;;;;;;;;;;;;
1; 450_950_0.40000004_0.1_90;837,99756;;;;;;;;;;;;;;
2; 450_950_0.40000004_0.1_90;902,7239;;;;;;;;;;;;;;
3; 450_950_0.40000004_0.1_90;918,4489;;;;;;;;;;;;;;
4; 450_950_0.40000004_0.1_90;951,47217;;;;;;;;;;;;;;
5; 450_950_0.40000004_0.1_90;918,7679;;;;;;;;;;;;;;
6; 450_950_0.40000004_0.1_90;836,2417;;;;;;;;;;;;;;
7; 450_950_0.40000004_0.1_90;911,51074;;;;;;;;;;;;;;
8; 450_950_0.40000004_0.1_90;924,9212;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.40000004_0.1_90;889,32056;;836,2417;951,47217;902,095053;35,99375613;;;;;;;;;
0; 450_950_0.45000005_0.1_90;890,67224;;;;;;;;;;;;;;
1; 450_950_0.45000005_0.1_90;866,9498;;;;;;;;;;;;;;
2; 450_950_0.45000005_0.1_90;948,8579;;;;;;;;;;;;;;
3; 450_950_0.45000005_0.1_90;850,1601;;;;;;;;;;;;;;
4; 450_950_0.45000005_0.1_90;921,0395;;;;;;;;;;;;;;
5; 450_950_0.45000005_0.1_90;983,494;;;;;;;;;;;;;;
6; 450_950_0.45000005_0.1_90;951,57495;;;;;;;;;;;;;;
7; 450_950_0.45000005_0.1_90;959,08545;;;;;;;;;;;;;;
8; 450_950_0.45000005_0.1_90;870,6116;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.45000005_0.1_90;1079,2009;;850,1601;1079,2009;932,164644;64,99723432;;;;;;;;;
0; 450_950_0.50000006_0.1_90;922,3563;;;;;;;;;;;;;;
1; 450_950_0.50000006_0.1_90;972,0761;;;;;;;;;;;;;;
2; 450_950_0.50000006_0.1_90;929,4027;;;;;;;;;;;;;;
3; 450_950_0.50000006_0.1_90;921,19293;;;;;;;;;;;;;;
4; 450_950_0.50000006_0.1_90;926,7186;;;;;;;;;;;;;;
5; 450_950_0.50000006_0.1_90;891,43463;;;;;;;;;;;;;;
6; 450_950_0.50000006_0.1_90;941,24;;;;;;;;;;;;;;
7; 450_950_0.50000006_0.1_90;910,4275;;;;;;;;;;;;;;
8; 450_950_0.50000006_0.1_90;945,3646;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.50000006_0.1_90;1015,8312;;891,43463;1015,8312;937,604456;33,07417363;;;;;;;;;
0; 450_950_0.5500001_0.1_90;842,92145;;;;;;;;;;;;;;
1; 450_950_0.5500001_0.1_90;946,8369;;;;;;;;;;;;;;
2; 450_950_0.5500001_0.1_90;926,4103;;;;;;;;;;;;;;
3; 450_950_0.5500001_0.1_90;914,2402;;;;;;;;;;;;;;
4; 450_950_0.5500001_0.1_90;923,24255;;;;;;;;;;;;;;
5; 450_950_0.5500001_0.1_90;927,7648;;;;;;;;;;;;;;
6; 450_950_0.5500001_0.1_90;976,94037;;;;;;;;;;;;;;
7; 450_950_0.5500001_0.1_90;957,62317;;;;;;;;;;;;;;
8; 450_950_0.5500001_0.1_90;864,66174;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.5500001_0.1_90;906,3377;;842,92145;976,94037;918,697918;38,33553378;;;;;;;;;
0; 450_950_0.6000001_0.1_90;929,0167;;;;;;;;;;;;;;
1; 450_950_0.6000001_0.1_90;866,1911;;;;;;;;;;;;;;
2; 450_950_0.6000001_0.1_90;940,9247;;;;;;;;;;;;;;
3; 450_950_0.6000001_0.1_90;934,12787;;;;;;;;;;;;;;
4; 450_950_0.6000001_0.1_90;932,57104;;;;;;;;;;;;;;
