0; 450_950_0.5_0.1_90;845,3271;;;;;;;;;;;;;;
1; 450_950_0.5_0.1_90;928,4968;;;;;;;;;;;;;;
2; 450_950_0.5_0.1_90;951,3964;;;;;;;;;;;;;;
3; 450_950_0.5_0.1_90;919,35315;;;;;;;;;;;;;;
4; 450_950_0.5_0.1_90;972,69604;;;;;;;;;;;;;;
5; 450_950_0.5_0.1_90;970,614;;;;;;;;;;;;;;
6; 450_950_0.5_0.1_90;892,0868;;;;;;;;;;;;;;
7; 450_950_0.5_0.1_90;906,9111;;;;;;;;;;;Best;Worst;Avg;Std
8; 450_950_0.5_0.1_90;1021,8067;;Best;Worst;Avg;Std;;; 450_950_0.5_0.1_90;980,46375;;845,3271;1021,8067;938,915184;48,3385281
9; 450_950_0.5_0.1_90;980,46375;;845,3271;1021,8067;938,915184;48,3385281;;; 450_950_0.51_0.1_90;964,6437;;836,59735;1024,5356;939,442169;56,06255138
0; 450_950_0.51_0.1_90;836,59735;;;;;;;; 450_950_0.52_0.1_90;923,54346;;838,7757;974,7665;919,815289;44,65783873
1; 450_950_0.51_0.1_90;946,8895;;;;;;;; 450_950_0.53_0.1_90;868,17633;;868,17633;1012,9258;950,405504;35,78853034
2; 450_950_0.51_0.1_90;1024,5356;;;;;;;; 450_950_0.53999996_0.1_90;880,3504;;880,3504;993,20447;939,753907;34,43025612
3; 450_950_0.51_0.1_90;887,8585;;;;;;;; 450_950_0.54999995_0.1_90;892,3199;;858,3026;1030,2546;931,548696;52,0410551
4; 450_950_0.51_0.1_90;1016,9224;;;;;;;; 450_950_0.55999994_0.1_90;841,58;;841,58;1007,2261;923,813303;42,30930096
5; 450_950_0.51_0.1_90;922,6886;;;;;;;; 450_950_0.56999993_0.1_90;904,94385;;871,5958;958,68463;916,943772;25,01734351
6; 450_950_0.51_0.1_90;981,65564;;;;;;;; 450_950_0.5799999_0.1_90;845,06586;;845,06586;992,06866;917,588686;44,64474457
7; 450_950_0.51_0.1_90;906,1486;;;;;;;; 450_950_0.5899999_0.1_90;1059,294;;867,4966;1059,294;936,48902;65,06820626
8; 450_950_0.51_0.1_90;906,4818;;Best;Worst;Avg;Std;;; 450_950_0.5999999_0.1_90;1047,0331;;907,3162;1047,0331;957,105631;48,44212765
9; 450_950_0.51_0.1_90;964,6437;;836,59735;1024,5356;939,442169;56,06255138;;; 450_950_0.6099999_0.1_90;946,7543;;896,6339;999,3718;949,819546;33,63987624
0; 450_950_0.52_0.1_90;838,7757;;;;;;;; 450_950_0.6199999_0.1_90;945,5232;;868,1268;992,81;915,114676;36,90022826
1; 450_950_0.52_0.1_90;938,52625;;;;;;;; 450_950_0.6299999_0.1_90;1053,0437;;911,7925;1053,0437;947,370355;45,94186584
2; 450_950_0.52_0.1_90;974,7665;;;;;;;; 450_950_0.63999987_0.1_90;883,42;;870,60315;1011,47546;923,605986;46,95560074
