0; 1000_10_100;1027,8195;;;;;;;;;;;;;;
1; 1000_10_100;1003,1141;;;;;;;;;;;;;;
2; 1000_10_100;998,5745;;;;;;;;;;;;;;
3; 1000_10_100;987,0858;;;;;;;;;;;;;;
4; 1000_10_100;1032,1793;;;;;;;;;;;;;;
5; 1000_10_100;1006,63336;;;;;;;;;;;;;;
6; 1000_10_100;1080,2084;;;;;;;;;;;;;;
7; 1000_10_100;1043,926;;;;;;;;;;;Best;Worst;Avg;Std
8; 1000_10_100;1002,40405;;Best;Worst;Avg;Std;;; 1000_10_100;1027,8112;;987,0858;1080,2084;1020,975621;26,02747792
9; 1000_10_100;1027,8112;;987,0858;1080,2084;1020,975621;26,02747792;;; 1000_11_100;1136,5114;;1002,40405;1136,5114;1050,206625;37,28687251
0; 1000_11_100;1049,3678;;;;;;;; 1000_12_100;1036,0717;;997,63763;1045,9768;1024,73597;16,24985442
1; 1000_11_100;1059,5703;;;;;;;; 1000_13_100;1000,99457;;1000,99457;1088,5063;1035,412142;28,53562002
2; 1000_11_100;1015,0897;;;;;;;; 1000_14_100;1029,0436;;1001,0991;1131,0349;1040,24128;33,92664549
3; 1000_11_100;1032,6791;;;;;;;; 1000_15_100;1049,1636;;1003,1141;1082,0271;1031,372512;25,82794498
4; 1000_11_100;1041,8801;;;;;;;; 1000_16_100;1028,6444;;1003,1141;1087,866;1039,33596;26,70642001
5; 1000_11_100;1080,7198;;;;;;;; 1000_17_100;1007,3536;;980,1012;1050,1687;1017,900678;19,64286336
6; 1000_11_100;1068,4084;;;;;;;; 1000_18_100;1036,8555;;1003,1141;1100,071;1039,86209;36,57580931
7; 1000_11_100;1002,40405;;;;;;;; 1000_19_100;1027,0792;;988,6511;1063,865;1021,284247;19,77288981
8; 1000_11_100;1015,4356;;Best;Worst;Avg;Std;;; 1000_20_100;1037,9036;;990,7326;1135,8014;1034,9024;40,68970657
9; 1000_11_100;1136,5114;;1002,40405;1136,5114;1050,206625;37,28687251;;; 1000_21_100;1029,2513;;1002,5871;1111,3789;1037,510114;32,80778347
0; 1000_12_100;1003,1141;;;;;;;; 1000_22_100;1031,7604;;1006,9982;1100,7382;1043,641817;26,14353809
1; 1000_12_100;1043,1842;;;;;;;; 1000_23_100;1008,06354;;1002,5845;1063,0768;1023,656663;19,5362288
2; 1000_12_100;1036,8372;;;;;;;; 1000_24_100;997,63763;;997,63763;1102,6003;1048,0494;33,42052277
3; 1000_12_100;1026,0035;;;;;;;; 1000_25_100;1046,3557;;1001,4408;1054,2366;1026,486718;15,99735906
4; 1000_12_100;997,63763;;;;;;;; 1000_26_100;1028,7313;;998,7926;1067,5573;1024,08973;21,09810278
