0; 450_950_0.7_0.1_22;1190,8787;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_22;1196,2417;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_22;1269,9614;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_22;1230,4922;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_22;1269,7001;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_22;1199,287;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_22;1244,4031;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_22;1237,8835;;;;;;;;;;;Best;Worst;Average;Std
8; 450_950_0.7_0.1_22;1208,7421;;Best;Worst;Average;Std;;; 450_950_0.7_0.1_22;1209,4579;;1190,8787;1269,9614;1225,70477;27,83096483
9; 450_950_0.7_0.1_22;1209,4579;;1190,8787;1269,9614;1225,70477;27,83096483;;; 450_950_0.7_0.1_45;1230,6813;;1190,1841;1340,294;1249,92487;49,41376563
0; 450_950_0.7_0.1_45;1212,8915;;;;;;;; 450_950_0.7_0.1_67;1321,167;;1136,9698;1421,5884;1255,57715;74,11439596
1; 450_950_0.7_0.1_45;1255,6666;;;;;;;; 450_950_0.7_0.1_90;1239,7898;;1176,3484;1319,2319;1241,01842;39,9185051
2; 450_950_0.7_0.1_45;1340,294;;;;;;;; 450_950_0.7_0.1_112;1319,7542;;1169,407;1319,7542;1229,21542;49,42223034
3; 450_950_0.7_0.1_45;1254,4906;;;;;;;; 450_950_0.7_0.1_135;1211,7878;;1127,7151;1304,882;1232,44163;46,2275906
4; 450_950_0.7_0.1_45;1272,5366;;;;;;;; 450_950_0.7_0.1_157;1137,6873;;1137,6873;1356,6355;1230,67702;70,5528092
5; 450_950_0.7_0.1_45;1330,2295;;;;;;;; 450_950_0.7_0.1_180;1183,3994;;1146,9888;1376,3224;1254,29583;80,56312032
6; 450_950_0.7_0.1_45;1190,1841;;;;;;;; 450_950_0.7_0.1_202;1279,9932;;1153,2449;1302,2338;1222,48504;44,37124732
7; 450_950_0.7_0.1_45;1212,8911;;;;;;;; 450_950_0.7_0.1_225;1215,1598;;1159,4985;1376,0597;1255,50725;57,04590266
8; 450_950_0.7_0.1_45;1199,3834;;Best;Worst;Average;Std;;; 450_950_0.7_0.1_247;1220,6947;;1199,0498;1335,8605;1243,66447;49,07533074
9; 450_950_0.7_0.1_45;1230,6813;;1190,1841;1340,294;1249,92487;49,41376563;;; 450_950_0.7_0.1_270;1223,5897;;1205,6843;1364,5217;1258,50519;50,25286434
0; 450_950_0.7_0.1_67;1226,4652;;;;;;;; 450_950_0.7_0.1_292;1284,1404;;1127,2502;1308,4917;1235,52116;63,63053824
1; 450_950_0.7_0.1_67;1198,0422;;;;;;;; 450_950_0.7_0.1_315;1216,1826;;1183,6969;1332,3422;1256,06354;47,31103617
2; 450_950_0.7_0.1_67;1228,926;;;;;;;; 450_950_0.7_0.1_337;1181,786;;1179,8275;1302,545;1226,28931;44,31054187
3; 450_950_0.7_0.1_67;1262,2998;;;;;;;; 450_950_0.7_0.1_360;1214,5336;;1214,5336;1297,4613;1248,70284;28,25868275
4; 450_950_0.7_0.1_67;1280,9768;;;;;;;; 450_950_0.7_0.1_382;1344,731;;1209,7904;1344,731;1260,11588;37,38052653
5; 450_950_0.7_0.1_67;1136,9698;;;;;;;; 450_950_0.7_0.1_405;1399,9259;;1183,2753;1399,9259;1275,76153;60,24864085
6; 450_950_0.7_0.1_67;1201,3577;;;;;;;; 450_950_0.7_0.1_427;1258,2843;;1195,1837;1367,1958;1248,61276;48,69475877
7; 450_950_0.7_0.1_67;1421,5884;;;;;;;; 450_950_0.7_0.1_450;1285,4137;;1193,9711;1307,4319;1256,55776;37,17619755
8; 450_950_0.7_0.1_67;1277,9786;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_67;1321,167;;1136,9698;1421,5884;1255,57715;74,11439596;;;;;;;;;
0; 450_950_0.7_0.1_90;1282,957;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_90;1245,6766;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_90;1210,429;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_90;1176,3484;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_90;1196,2214;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_90;1267,4712;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_90;1245,0084;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_90;1319,2319;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_90;1227,0505;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_90;1239,7898;;1176,3484;1319,2319;1241,01842;39,9185051;;;;;;;;;
0; 450_950_0.7_0.1_112;1172,3723;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_112;1235,0984;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_112;1169,407;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_112;1183,1135;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_112;1256,9067;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_112;1211,4784;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_112;1204,5308;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_112;1303,5388;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_112;1235,9541;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_112;1319,7542;;1169,407;1319,7542;1229,21542;49,42223034;;;;;;;;;
0; 450_950_0.7_0.1_135;1304,882;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_135;1218,4143;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_135;1222,5107;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_135;1290,1566;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_135;1255,9086;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_135;1127,7151;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_135;1213,9176;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_135;1246,8566;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_135;1232,267;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_135;1211,7878;;1127,7151;1304,882;1232,44163;46,2275906;;;;;;;;;
0; 450_950_0.7_0.1_157;1261,8303;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_157;1324,5366;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_157;1288,4514;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_157;1184,6779;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_157;1230,725;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_157;1190,4989;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_157;1356,6355;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_157;1168,5643;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_157;1163,163;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_157;1137,6873;;1137,6873;1356,6355;1230,67702;70,5528092;;;;;;;;;
0; 450_950_0.7_0.1_180;1157,7572;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_180;1183,4025;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_180;1256,707;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_180;1326,6971;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_180;1376,3224;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_180;1292,2572;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_180;1365,8203;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_180;1146,9888;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_180;1253,6064;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_180;1183,3994;;1146,9888;1376,3224;1254,29583;80,56312032;;;;;;;;;
0; 450_950_0.7_0.1_202;1254,8529;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_202;1200,1139;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_202;1171,6616;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_202;1219,5042;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_202;1202,2537;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_202;1302,2338;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_202;1238,793;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_202;1202,1992;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_202;1153,2449;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_202;1279,9932;;1153,2449;1302,2338;1222,48504;44,37124732;;;;;;;;;
0; 450_950_0.7_0.1_225;1212,9747;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_225;1256,1343;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_225;1219,5107;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_225;1253,0424;;;;;;;;;;;;;;
