0; 10000_54_18;1200,6792;;;;;;;;;;;;;;
1; 10000_54_18;1224,7343;;;;;;;;;;;;;;
2; 10000_54_18;1196,904;;;;;;;;;;;;;;
3; 10000_54_18;1197,5396;;;;;;;;;;;;;;
4; 10000_54_18;1182,123;;;;;;;;;;;;;;
5; 10000_54_18;1215,3999;;;;;;;;;;;;;;
6; 10000_54_18;1200,5929;;;;;;;;;;;;;;
7; 10000_54_18;1190,894;;;;;;;;;;;Best;Worst;Avg;Std
8; 10000_54_18;1219,9868;;Best;Worst;Avg;Std;;; 10000_54_18;1189,2955;;1182,123;1224,7343;1201,81492;13,22505069
9; 10000_54_18;1189,2955;;1182,123;1224,7343;1201,81492;13,22505069;;; 10000_54_19;1235,7565;;1178,6663;1235,7565;1207,2672;18,42584461
0; 10000_54_19;1178,6663;;;;;;;; 10000_54_20;1225,2303;;1184,8496;1248,4792;1206,36074;18,19131776
1; 10000_54_19;1199,7719;;;;;;;; 10000_54_21;1214,2089;;1184,1792;1234,0115;1207,27944;14,57525185
2; 10000_54_19;1218,2999;;;;;;;; 10000_54_22;1183,8462;;1183,4542;1238,7911;1199,53656;18,44165414
3; 10000_54_19;1217,5402;;;;;;;; 10000_54_23;1181,4609;;1178,8303;1238,0774;1205,33262;19,23710577
4; 10000_54_19;1224,4146;;;;;;;; 10000_54_24;1232,8406;;1181,2224;1232,8406;1202,54918;17,09381855
5; 10000_54_19;1183,5212;;;;;;;; 10000_54_25;1231,3749;;1181,5063;1239,102;1212,94405;18,63742794
6; 10000_54_19;1188,8674;;;;;;;; 10000_54_26;1195,547;;1193,0796;1241,0325;1206,61608;16,41922679
7; 10000_54_19;1223,4463;;;;;;;; 10000_54_27;1200,6929;;1183,4858;1236,894;1200,91616;13,9324766
8; 10000_54_19;1202,3877;;Best;Worst;Avg;Std;;; 10000_54_28;1183,0471;;1183,0471;1243,1176;1206,70962;18,57286194
9; 10000_54_19;1235,7565;;1178,6663;1235,7565;1207,2672;18,42584461;;; 10000_54_29;1229,5701;;1195,2295;1229,5701;1209,87949;12,40255704
0; 10000_54_20;1248,4792;;;;;;;; 10000_54_30;1180,0107;;1179,9991;1237,0767;1199,0551;15,54179817
1; 10000_54_20;1191,555;;;;;;;; 10000_54_31;1181,7737;;1181,7737;1222,1442;1196,31104;12,49512662
2; 10000_54_20;1209,1462;;;;;;;; 10000_54_32;1201,1511;;1190,9424;1222,9725;1202,45919;8,814706938
3; 10000_54_20;1211,0254;;;;;;;; 10000_54_33;1186,1292;;1180,6854;1212,8419;1195,24498;12,1789611
4; 10000_54_20;1199,1823;;;;;;;; 10000_54_34;1230,8555;;1192,8431;1230,8555;1206,85183;12,44793108
5; 10000_54_20;1209,6628;;;;;;;; 10000_54_35;1234,52;;1181,6183;1243,1743;1209,59866;20,91815402
6; 10000_54_20;1190,4441;;;;;;;; 10000_54_36;1187,8992;;1187,2338;1233,2474;1207,27802;16,69573781
7; 10000_54_20;1194,0325;;;;;;;; 10000_54_37;1196,6449;;1191,7585;1212,8024;1202,51784;6,807747263
8; 10000_54_20;1184,8496;;Best;Worst;Avg;Std;;; 10000_54_38;1190,6072;;1176,9725;1228,7203;1202,1774;16,17366791
9; 10000_54_20;1225,2303;;1184,8496;1248,4792;1206,36074;18,19131776;;; 10000_54_39;1178,6638;;1177,7238;1229,3735;1200,52221;16,00835686
0; 10000_54_21;1203,8789;;;;;;;; 10000_54_40;1198,2568;;1184,0674;1243,5669;1203,21062;16,11857426
1; 10000_54_21;1234,0115;;;;;;;; 10000_54_41;1194,7133;;1179,8417;1235,6631;1202,90243;16,11209156
2; 10000_54_21;1197,9922;;;;;;;;;;;;;;
3; 10000_54_21;1224,3259;;;;;;;;;;;;;;
4; 10000_54_21;1212,8073;;;;;;;;;;;;;;
5; 10000_54_21;1210,3644;;;;;;;;;;;;;;
6; 10000_54_21;1187,6782;;;;;;;;;;;;;;
7; 10000_54_21;1203,3479;;;;;;;;;;;;;;
8; 10000_54_21;1184,1792;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_21;1214,2089;;1184,1792;1234,0115;1207,27944;14,57525185;;;;;;;;;
0; 10000_54_22;1194,9521;;;;;;;;;;;;;;
1; 10000_54_22;1183,4542;;;;;;;;;;;;;;
2; 10000_54_22;1187,2871;;;;;;;;;;;;;;
3; 10000_54_22;1197,815;;;;;;;;;;;;;;
4; 10000_54_22;1195,4229;;;;;;;;;;;;;;
5; 10000_54_22;1189,2334;;;;;;;;;;;;;;
6; 10000_54_22;1231,4287;;;;;;;;;;;;;;
7; 10000_54_22;1238,7911;;;;;;;;;;;;;;
8; 10000_54_22;1193,1349;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_22;1183,8462;;1183,4542;1238,7911;1199,53656;18,44165414;;;;;;;;;
0; 10000_54_23;1212,5118;;;;;;;;;;;;;;
1; 10000_54_23;1197,77;;;;;;;;;;;;;;
2; 10000_54_23;1183,4358;;;;;;;;;;;;;;
3; 10000_54_23;1238,0774;;;;;;;;;;;;;;
4; 10000_54_23;1231,4694;;;;;;;;;;;;;;
5; 10000_54_23;1178,8303;;;;;;;;;;;;;;
6; 10000_54_23;1208,1312;;;;;;;;;;;;;;
7; 10000_54_23;1213,7202;;;;;;;;;;;;;;
8; 10000_54_23;1207,9192;;Best;Worst;Avg;Std;;;;;;;;;
9; 10000_54_23;1181,4609;;1178,8303;1238,0774;1205,33262;19,23710577;;;;;;;;;
0; 10000_54_24;1221,4207;;;;;;;;;;;;;;
1; 10000_54_24;1199,5671;;;;;;;;;;;;;;
2; 10000_54_24;1207,7097;;;;;;;;;;;;;;
3; 10000_54_24;1193,8823;;;;;;;;;;;;;;
4; 10000_54_24;1199,3551;;;;;;;;;;;;;;
5; 10000_54_24;1221,8013;;;;;;;;;;;;;;
6; 10000_54_24;1181,2224;;;;;;;;;;;;;;
7; 10000_54_24;1184,9349;;;;;;;;;;;;;;
