0; 450_950_0.7_0.1_157;1499,3833;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_157;1590,1644;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_157;1593,3062;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_157;1506,7755;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_157;1558,1832;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_157;1624,2429;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_157;1587,3096;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_157;1701,5559;;;;;;;;;;;Best;Worst;Average;Std
8; 450_950_0.7_0.1_157;1734,5851;;Best;Worst;Average;Std;;; 450_950_0.7_0.1_157;1503,3727;;1499,3833;1734,5851;1589,88788;76,28533167
9; 450_950_0.7_0.1_157;1503,3727;;1499,3833;1734,5851;1589,88788;76,28533167;;; 450_950_0.7_0.1_162;1483,2828;;1476,0256;1768,7999;1593,52472;87,08725824
0; 450_950_0.7_0.1_162;1768,7999;;;;;;;; 450_950_0.7_0.1_166;1609,8367;;1510,5721;1778,2103;1594,88663;72,61472407
1; 450_950_0.7_0.1_162;1614,639;;;;;;;; 450_950_0.7_0.1_171;1606,0253;;1469,9872;1678,5181;1574,42816;57,23261429
2; 450_950_0.7_0.1_162;1552,4122;;;;;;;; 450_950_0.7_0.1_175;1610,8352;;1548,8015;1744,5957;1645,82404;64,98328355
3; 450_950_0.7_0.1_162;1628,4442;;;;;;;; 450_950_0.7_0.1_180;1651,838;;1525,695;1686,7493;1619,37553;55,5041964
4; 450_950_0.7_0.1_162;1685,9362;;;;;;;; 450_950_0.7_0.1_184;1659,0197;;1513,0901;1700,8169;1609,21395;56,35609644
5; 450_950_0.7_0.1_162;1548,8925;;;;;;;; 450_950_0.7_0.1_189;1646,2007;;1513,3624;1654,4895;1595,43744;46,8837459
6; 450_950_0.7_0.1_162;1639,5028;;;;;;;; 450_950_0.7_0.1_193;1636,6302;;1544,6228;1677,469;1624,64928;38,52967719
7; 450_950_0.7_0.1_162;1537,312;;;;;;;; 450_950_0.7_0.1_198;1631,9828;;1506,6235;1686,5212;1604,40026;56,43658483
8; 450_950_0.7_0.1_162;1476,0256;;Best;Worst;Average;Std;;; 450_950_0.7_0.1_202;1553,0112;;1545,3071;1730,5066;1605,15413;65,33126736
9; 450_950_0.7_0.1_162;1483,2828;;1476,0256;1768,7999;1593,52472;87,08725824;;; 450_950_0.7_0.1_207;1609,8046;;1509,5143;1686,9736;1593,78134;60,30109245
0; 450_950_0.7_0.1_166;1593,184;;;;;;;; 450_950_0.7_0.1_211;1642,6461;;1477,6051;1752,7472;1627,49858;74,11918613
1; 450_950_0.7_0.1_166;1527,0496;;;;;;;; 450_950_0.7_0.1_216;1697,5592;;1531,0605;1697,5592;1590,79291;48,87674416
2; 450_950_0.7_0.1_166;1778,2103;;;;;;;; 450_950_0.7_0.1_220;1578,0391;;1456,7375;1764,5354;1590,30423;89,86161317
3; 450_950_0.7_0.1_166;1571,2383;;;;;;;; 450_950_0.7_0.1_225;1552,521;;1475,8436;1748,4078;1616,50323;86,0437976
4; 450_950_0.7_0.1_166;1624,3965;;;;;;;; 450_950_0.7_0.1_229;1553,8793;;1452,4048;1653,8363;1559,98489;61,95224957
5; 450_950_0.7_0.1_166;1510,5721;;;;;;;; 450_950_0.7_0.1_234;1666,862;;1492,8569;1756,7081;1603,38542;85,65870858
6; 450_950_0.7_0.1_166;1540,7568;;;;;;;; 450_950_0.7_0.1_238;1654,9563;;1508,8613;1658,0217;1604,84708;46,9536204
7; 450_950_0.7_0.1_166;1634,3389;;;;;;;; 450_950_0.7_0.1_243;1622,3528;;1512,3651;1717,5494;1614,78041;68,07489213
8; 450_950_0.7_0.1_166;1559,2831;;Best;Worst;Average;Std;;; 450_950_0.7_0.1_247;1511,8809;;1511,8809;1700,5162;1614,20515;62,45553128
9; 450_950_0.7_0.1_166;1609,8367;;1510,5721;1778,2103;1594,88663;72,61472407;;; 450_950_0.7_0.1_252;1637,6458;;1532,3867;1672,7946;1610,62621;49,85142373
0; 450_950_0.7_0.1_171;1678,5181;;;;;;;; 450_950_0.7_0.1_256;1705,9135;;1521,3982;1714,9407;1618,06792;67,89691731
1; 450_950_0.7_0.1_171;1524,989;;;;;;;; 450_950_0.7_0.1_261;1649,3403;;1511,1658;1649,3403;1579,36907;44,8753329
2; 450_950_0.7_0.1_171;1620,2983;;;;;;;; 450_950_0.7_0.1_265;1578,5178;;1480,2273;1713,0376;1597,48472;70,22064346
3; 450_950_0.7_0.1_171;1570,0587;;;;;;;; 450_950_0.7_0.1_270;1653,2667;;1547,938;1734,2172;1620,93056;60,58756056
4; 450_950_0.7_0.1_171;1622,2412;;;;;;;; 450_950_0.7_0.1_274;1649,0703;;1549,1674;1727,0723;1638,25466;53,01180826
5; 450_950_0.7_0.1_171;1566,4336;;;;;;;; 450_950_0.7_0.1_279;1638,2375;;1427,2627;1751,7046;1604,47191;79,49850168
6; 450_950_0.7_0.1_171;1566,369;;;;;;;; 450_950_0.7_0.1_283;1626,3907;;1550,5267;1719,2161;1619,41988;54,77178878
7; 450_950_0.7_0.1_171;1469,9872;;;;;;;; 450_950_0.7_0.1_288;1582,0018;;1548,6725;1714,5646;1595,58254;52,28988187
8; 450_950_0.7_0.1_171;1519,3612;;Best;Worst;Average;Std;;; 450_950_0.7_0.1_292;1658,8123;;1525,6091;1677,887;1615,06855;44,20947807
9; 450_950_0.7_0.1_171;1606,0253;;1469,9872;1678,5181;1574,42816;57,23261429;;;;;;;;;
0; 450_950_0.7_0.1_175;1622,2001;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_175;1564,1835;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_175;1741,7836;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_175;1642,9181;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_175;1675,8607;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_175;1606,7662;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_175;1548,8015;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_175;1700,2958;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_175;1744,5957;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_175;1610,8352;;1548,8015;1744,5957;1645,82404;64,98328355;;;;;;;;;
0; 450_950_0.7_0.1_180;1614,5192;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_180;1525,695;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_180;1649,6686;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_180;1649,8427;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_180;1526,4744;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_180;1574,699;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_180;1680,4849;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_180;1633,7842;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_180;1686,7493;;Best;Worst;Average;Std;;;;;;;;;
9; 450_950_0.7_0.1_180;1651,838;;1525,695;1686,7493;1619,37553;55,5041964;;;;;;;;;
0; 450_950_0.7_0.1_184;1610,2542;;;;;;;;;;;;;;
1; 450_950_0.7_0.1_184;1599,3683;;;;;;;;;;;;;;
2; 450_950_0.7_0.1_184;1513,0901;;;;;;;;;;;;;;
3; 450_950_0.7_0.1_184;1696,1276;;;;;;;;;;;;;;
4; 450_950_0.7_0.1_184;1584,5148;;;;;;;;;;;;;;
5; 450_950_0.7_0.1_184;1575,4078;;;;;;;;;;;;;;
6; 450_950_0.7_0.1_184;1700,8169;;;;;;;;;;;;;;
7; 450_950_0.7_0.1_184;1568,4493;;;;;;;;;;;;;;
8; 450_950_0.7_0.1_184;1585,0908;;Best;Worst;Average;Std;;;;;;;;;
