0; 800_450_0.7_0.1_8;860,866;;;;;;;;;;;;
1; 800_450_0.7_0.1_8;807,91223;;;;;;;;;;;;
2; 800_450_0.7_0.1_8;830,0193;;;;;;;;;;Best;Worst;Average
3; 800_450_0.7_0.1_8;818,6973;;;;;;; 800_450_0.7_0.1_8;854,1256;;807,91223;966,96075;869,299574
4; 800_450_0.7_0.1_8;966,96075;;;;;;; 800_450_0.7_0.1_16;920,7285;;810,57355;920,7285;852,383315
5; 800_450_0.7_0.1_8;812,3229;;;;;;; 800_450_0.7_0.1_24;832,9459;;830,1587;911,37006;859,369875
6; 800_450_0.7_0.1_8;953,5735;;;;;;; 800_450_0.7_0.1_32;836,3872;;820,25757;947,6013;866,592706
7; 800_450_0.7_0.1_8;901,65;;;;;;; 800_450_0.7_0.1_40;847,17804;;797,45123;1007,932;886,253701
8; 800_450_0.7_0.1_8;886,86816;;Best;Worst;Average;;; 800_450_0.7_0.1_48;814,1001;;814,1001;910,63763;858,537552
9; 800_450_0.7_0.1_8;854,1256;;807,91223;966,96075;869,299574;;; 800_450_0.7_0.1_56;867,513;;811,069;955,35846;865,766234
0; 800_450_0.7_0.1_16;864,67896;;;;;;; 800_450_0.7_0.1_64;901,20184;;816,3436;907,1319;868,610291
1; 800_450_0.7_0.1_16;851,4238;;;;;;; 800_450_0.7_0.1_72;963,54614;;809,335;963,54614;862,444695
2; 800_450_0.7_0.1_16;838,6471;;;;;;; 800_450_0.7_0.1_80;858,94037;;837,5388;936,90564;865,446316
3; 800_450_0.7_0.1_16;822,4798;;;;;;; 800_450_0.7_0.1_88;920,51825;;821,8278;930,964;875,56129
4; 800_450_0.7_0.1_16;914,01245;;;;;;; 800_450_0.7_0.1_96;932,6616;;849,359;933,6195;892,168651
5; 800_450_0.7_0.1_16;810,57355;;;;;;; 800_450_0.7_0.1_104;996,3419;;859,649;996,3419;912,583096
6; 800_450_0.7_0.1_16;837,73846;;;;;;; 800_450_0.7_0.1_112;925,2029;;807,81696;933,66766;873,762103
7; 800_450_0.7_0.1_16;824,68933;;;;;;; 800_450_0.7_0.1_120;854,858;;832,45703;901,80304;858,441347
8; 800_450_0.7_0.1_16;838,8612;;Best;Worst;Average;;; 800_450_0.7_0.1_128;832,5237;;815,1485;917,4744;862,529573
9; 800_450_0.7_0.1_16;920,7285;;810,57355;920,7285;852,383315;;; 800_450_0.7_0.1_136;936,15625;;816,5903;1000,1357;883,061426
0; 800_450_0.7_0.1_24;830,1587;;;;;;; 800_450_0.7_0.1_144;826,5402;;816,2514;972,0946;879,85042
1; 800_450_0.7_0.1_24;911,37006;;;;;;; 800_450_0.7_0.1_152;870,78107;;808,63904;912,4256;870,017334
2; 800_450_0.7_0.1_24;846,68787;;;;;;; 800_450_0.7_0.1_160;882,29065;;812,9033;939,5747;867,66358
3; 800_450_0.7_0.1_24;831,9048;;;;;;; 800_450_0.7_0.1_168;895,30096;;823,70276;917,05206;873,118067
4; 800_450_0.7_0.1_24;841,076;;;;;;; 800_450_0.7_0.1_176;803,5141;;803,5141;892,62164;841,22917
5; 800_450_0.7_0.1_24;862,08124;;;;;;; 800_450_0.7_0.1_184;817,196;;817,196;940,37445;864,359979
6; 800_450_0.7_0.1_24;904,07;;;;;;; 800_450_0.7_0.1_192;907,37683;;835,43066;929,65283;873,741404
7; 800_450_0.7_0.1_24;867,60114;;;;;;; 800_450_0.7_0.1_200;881,68756;;823,5557;900,3418;864,518815
8; 800_450_0.7_0.1_24;865,80304;;Best;Worst;Average;;; 800_450_0.7_0.1_208;881,42725;;830,7645;932,00244;867,037633
9; 800_450_0.7_0.1_24;832,9459;;830,1587;911,37006;859,369875;;; 800_450_0.7_0.1_216;841,3633;;818,92316;951,1985;864,630085
0; 800_450_0.7_0.1_32;839,42676;;;;;;; 800_450_0.7_0.1_224;844,787;;825,9149;1007,0679;860,595852
1; 800_450_0.7_0.1_32;857,91797;;;;;;; 800_450_0.7_0.1_232;838,3988;;818,19293;868,77295;845,651006
2; 800_450_0.7_0.1_32;947,6013;;;;;;; 800_450_0.7_0.1_240;863,2394;;836,3254;931,49603;873,162399
3; 800_450_0.7_0.1_32;855,5041;;;;;;; 800_450_0.7_0.1_248;927,64716;;817,159;949,9262;888,125065
4; 800_450_0.7_0.1_32;912,93463;;;;;;; 800_450_0.7_0.1_256;907,3768;;810,5735;913,9054;871,85196
5; 800_450_0.7_0.1_32;820,557;;;;;;; 800_450_0.7_0.1_264;882,17413;;834,9155;942,2257;880,860804
6; 800_450_0.7_0.1_32;820,25757;;;;;;; 800_450_0.7_0.1_272;838,73047;;838,73047;919,5911;877,769215
7; 800_450_0.7_0.1_32;886,946;;;;;;; 800_450_0.7_0.1_280;797,87177;;797,87177;891,1729;846,15505
8; 800_450_0.7_0.1_32;888,39453;;Best;Worst;Average;;; 800_450_0.7_0.1_288;819,5792;;812,9817;924,4302;864,256605
9; 800_450_0.7_0.1_32;836,3872;;820,25757;947,6013;866,592706;;; 800_450_0.7_0.1_296;817,99225;;797,45123;991,0055;876,964087
0; 800_450_0.7_0.1_40;863,03503;;;;;;; 800_450_0.7_0.1_304;880,25793;;825,22626;962,6457;865,845652
1; 800_450_0.7_0.1_40;921,34564;;;;;;; 800_450_0.7_0.1_312;857,55334;;841,21027;1004,4065;898,978269
2; 800_450_0.7_0.1_40;950,1897;;;;;;; 800_450_0.7_0.1_320;903,6486;;812,3229;1011,9361;895,295586
3; 800_450_0.7_0.1_40;797,45123;;;;;;; 800_450_0.7_0.1_328;857,06854;;844,19104;931,9784;870,052369
4; 800_450_0.7_0.1_40;838,76263;;;;;;; 800_450_0.7_0.1_336;956,1431;;825,8195;956,1431;868,378106
5; 800_450_0.7_0.1_40;927,94434;;;;;;; 800_450_0.7_0.1_344;977,1103;;812,7828;977,1103;882,642141
6; 800_450_0.7_0.1_40;875,8064;;;;;;; 800_450_0.7_0.1_352;877,8894;;810,69403;936,9208;873,238969
