0; 100_100_0.7_0.1_5;976,3815;;;;;;;;;
1; 100_100_0.7_0.1_5;1026,4529;;;;;;;;;
2; 100_100_0.7_0.1_5;1026,5302;;;;;;;;;
3; 100_100_0.7_0.1_5;961,35614;;;;;;;;;
4; 100_100_0.7_0.1_5;1043,2173;;;;;;;;;
5; 100_100_0.7_0.1_5;1063,3268;;;;;;;;;
6; 100_100_0.7_0.1_5;1079,0798;;;;;;;;;
7; 100_100_0.7_0.1_5;1078,2705;;;;;;;;;
8; 100_100_0.7_0.1_5;1083,2659;;Best;Worst;Average;;;Best;Worst;Average
9; 100_100_0.7_0.1_5;918,5798;;918,5798;1083,2659;1025,646084;;;918,5798;1083,2659;1025,646084
0; 100_150_0.7_0.1_5;831,2128;;;;;;;831,2128;1081,6116;956,544296
1; 100_150_0.7_0.1_5;997,10266;;;;;;;874,8707;1057,0258;964,90124
2; 100_150_0.7_0.1_5;892,5978;;;;;;;874,4792;1059,2162;946,721872
3; 100_150_0.7_0.1_5;1081,6116;;;;;;;839,3724;1058,203;931,656872
4; 100_150_0.7_0.1_5;1032,9076;;;;;;;845,5965;1106,609;965,803976
5; 100_150_0.7_0.1_5;984,0132;;;;;;;851,33984;1061,529;953,282745
6; 100_150_0.7_0.1_5;868,61743;;;;;;;822,3593;1049,9583;911,598214
7; 100_150_0.7_0.1_5;973,75903;;;;;;;842,1642;1034,8412;924,21713
8; 100_150_0.7_0.1_5;926,7307;;Best;Worst;Average;;;834,08594;1006,29504;910,631313
9; 100_150_0.7_0.1_5;976,89014;;831,2128;1081,6116;956,544296;;;818,2541;1052,0472;919,536427
0; 100_200_0.7_0.1_5;1056,7667;;;;;;;838,6063;1045,4965;953,529832
1; 100_200_0.7_0.1_5;874,8707;;;;;;;803,39355;1115,2255;919,466347
2; 100_200_0.7_0.1_5;910,4191;;;;;;;824,737;982,76733;906,96615
3; 100_200_0.7_0.1_5;997,8074;;;;;;;846,7168;975,3597;895,203559
4; 100_200_0.7_0.1_5;1057,0258;;;;;;;801,81885;952,50757;867,234222
5; 100_200_0.7_0.1_5;1010,1174;;;;;;;823,6201;945,3697;879,68493
6; 100_200_0.7_0.1_5;995,5439;;;;;;;862,82385;1102,7479;937,619883
7; 100_200_0.7_0.1_5;886,5835;;;;;;;812,7828;981,95306;926,322069
8; 100_200_0.7_0.1_5;948,6034;;Best;Worst;Average;;;;;
9; 100_200_0.7_0.1_5;911,2745;;874,8707;1057,0258;964,90124;;;;;
0; 100_250_0.7_0.1_5;923,64667;;;;;;;;;
1; 100_250_0.7_0.1_5;1017,0488;;;;;;;;;
2; 100_250_0.7_0.1_5;1003,47437;;;;;;;;;
3; 100_250_0.7_0.1_5;925,23975;;;;;;;;;
4; 100_250_0.7_0.1_5;930,4176;;;;;;;;;
5; 100_250_0.7_0.1_5;905,8295;;;;;;;;;
6; 100_250_0.7_0.1_5;1059,2162;;;;;;;;;
7; 100_250_0.7_0.1_5;893,8659;;;;;;;;;
8; 100_250_0.7_0.1_5;934,00073;;Best;Worst;Average;;;;;
9; 100_250_0.7_0.1_5;874,4792;;874,4792;1059,2162;946,721872;;;;;
0; 100_300_0.7_0.1_5;1058,203;;;;;;;;;
1; 100_300_0.7_0.1_5;919,01154;;;;;;;;;
2; 100_300_0.7_0.1_5;910,02313;;;;;;;;;
3; 100_300_0.7_0.1_5;951,3287;;;;;;;;;
4; 100_300_0.7_0.1_5;861,18085;;;;;;;;;
5; 100_300_0.7_0.1_5;839,3724;;;;;;;;;
6; 100_300_0.7_0.1_5;975,31464;;;;;;;;;
7; 100_300_0.7_0.1_5;907,9006;;;;;;;;;
8; 100_300_0.7_0.1_5;970,45526;;Best;Worst;Average;;;;;
9; 100_300_0.7_0.1_5;923,7786;;839,3724;1058,203;931,656872;;;;;
0; 100_350_0.7_0.1_5;908,0572;;;;;;;;;
1; 100_350_0.7_0.1_5;1106,609;;;;;;;;;
2; 100_350_0.7_0.1_5;845,5965;;;;;;;;;
3; 100_350_0.7_0.1_5;859,1836;;;;;;;;;
4; 100_350_0.7_0.1_5;1057,8882;;;;;;;;;
5; 100_350_0.7_0.1_5;935,24036;;;;;;;;;
6; 100_350_0.7_0.1_5;981,2337;;;;;;;;;
7; 100_350_0.7_0.1_5;1030,9897;;;;;;;;;
8; 100_350_0.7_0.1_5;967,7783;;Best;Worst;Average;;;;;
9; 100_350_0.7_0.1_5;965,4632;;845,5965;1106,609;965,803976;;;;;
0; 100_400_0.7_0.1_5;931,1011;;;;;;;;;
1; 100_400_0.7_0.1_5;977,4102;;;;;;;;;
2; 100_400_0.7_0.1_5;965,67236;;;;;;;;;
3; 100_400_0.7_0.1_5;893,7347;;;;;;;;;
4; 100_400_0.7_0.1_5;914,2276;;;;;;;;;
5; 100_400_0.7_0.1_5;992,9347;;;;;;;;;
6; 100_400_0.7_0.1_5;851,33984;;;;;;;;;
7; 100_400_0.7_0.1_5;1061,529;;;;;;;;;
8; 100_400_0.7_0.1_5;996,0187;;Best;Worst;Average;;;;;
9; 100_400_0.7_0.1_5;948,85925;;851,33984;1061,529;953,282745;;;;;
