0; 100_100_0.7_0.01_5;1270,6761;;;;;;;;;;
1; 100_100_0.7_0.01_5;1261,343;;;;;;;;;;
2; 100_100_0.7_0.01_5;1169,6572;;;;;;;;;;
3; 100_100_0.7_0.01_5;1248,2648;;;;;;;;;;
4; 100_100_0.7_0.01_5;1177,8326;;;;;;;;;;
5; 100_100_0.7_0.01_5;1343,9642;;;;;;;;;;
6; 100_100_0.7_0.01_5;1257,5944;;;;;;;;;;
7; 100_100_0.7_0.01_5;1154,0542;;;;;;;;;;
8; 100_100_0.7_0.01_5;1359,3418;;Best;Worst;Average;;;;Best;Worst;Average
9; 100_100_0.7_0.01_5;1202,5676;;1154,0542;1359,3418;1244,52959;;;;1154,0542;1359,3418;1244,52959
0; 100_100_0.7_0.015_5;1236,6711;;;;;;;;1087,6687;1396,179;1253,56808
1; 100_100_0.7_0.015_5;1168,1404;;;;;;;;1008,04474;1380,5756;1190,337314
2; 100_100_0.7_0.015_5;1324,7994;;;;;;;;1061,258;1314,4042;1167,37485
3; 100_100_0.7_0.015_5;1258,9298;;;;;;;;1040,2548;1315,1533;1151,42261
4; 100_100_0.7_0.015_5;1087,6687;;;;;;;;1057,6696;1209,9012;1135,75859
5; 100_100_0.7_0.015_5;1280,7297;;;;;;;;1052,0248;1141,2812;1105,30551
6; 100_100_0.7_0.015_5;1179,0016;;;;;;;;924,0204;1243,4076;1100,43889
7; 100_100_0.7_0.015_5;1247,7498;;;;;;;;996,8482;1189,4452;1067,507734
8; 100_100_0.7_0.015_5;1355,8113;;Best;Worst;Average;;;;959,0475;1126,9977;1066,5818
9; 100_100_0.7_0.015_5;1396,179;;1087,6687;1396,179;1253,56808;;;;927,3212;1187,8672;1038,835
0; 100_100_0.7_0.02_5;1380,5756;;;;;;;;984,00165;1213,0709;1093,389125
1; 100_100_0.7_0.02_5;1204,5613;;;;;;;;909,8703;1152,1461;1022,244056
2; 100_100_0.7_0.02_5;1235,2822;;;;;;;;953,591;1193,7006;1087,293246
3; 100_100_0.7_0.02_5;1008,04474;;;;;;;;1057,4741;1208,2739;1133,74409
4; 100_100_0.7_0.02_5;1071,2771;;;;;;;;895,18524;1025,4913;987,471808
5; 100_100_0.7_0.02_5;1136,6019;;;;;;;;954,9177;1141,4896;1041,811704
6; 100_100_0.7_0.02_5;1251,8048;;;;;;;;935,499;1126,5778;1000,337659
7; 100_100_0.7_0.02_5;1047,3237;;;;;;;;924,721;1150,8026;1046,51365
8; 100_100_0.7_0.02_5;1249,9011;;Best;Worst;Average;;;;914,35486;1097,3915;1012,205377
9; 100_100_0.7_0.02_5;1318,0007;;1008,04474;1380,5756;1190,337314;;;;938,9358;1063,9927;1003,175078
0; 100_100_0.7_0.024999999_5;1140,905;;;;;;;;924,3534;1201,0864;1029,92907
1; 100_100_0.7_0.024999999_5;1132,9417;;;;;;;;928,7009;1091,9596;1017,955766
2; 100_100_0.7_0.024999999_5;1102,0402;;;;;;;;877,2004;1127,0708;1023,422284
3; 100_100_0.7_0.024999999_5;1139,734;;;;;;;;894,9033;1098,516;985,3338
4; 100_100_0.7_0.024999999_5;1229,1965;;;;;;;;921,58496;1027,9536;976,264177
5; 100_100_0.7_0.024999999_5;1135,9537;;;;;;;;884,56964;1071,9832;973,080878
6; 100_100_0.7_0.024999999_5;1271,2383;;;;;;;;900,2587;1074,2222;1004,14751
7; 100_100_0.7_0.024999999_5;1146,0769;;;;;;;;962,48364;1062,2837;1010,489377
8; 100_100_0.7_0.024999999_5;1314,4042;;Best;Worst;Average;;;;907,4122;1060,8699;1005,146236
9; 100_100_0.7_0.024999999_5;1061,258;;1061,258;1314,4042;1167,37485;;;;859,6;1049,341;992,503941
0; 100_100_0.7_0.029999997_5;1062,3303;;;;;;;;890,31476;1081,4751;982,755514
1; 100_100_0.7_0.029999997_5;1060,0104;;;;;;;;865,1032;1045,1128;977,401911
2; 100_100_0.7_0.029999997_5;1165,0576;;;;;;;;888,4153;1107,5472;984,977966
3; 100_100_0.7_0.029999997_5;1315,1533;;;;;;;;928,6046;1044,1936;973,26124
4; 100_100_0.7_0.029999997_5;1155,0244;;;;;;;;903,6866;1079,0314;980,166744
5; 100_100_0.7_0.029999997_5;1154,3817;;;;;;;;879,61926;1098,2761;975,535488
6; 100_100_0.7_0.029999997_5;1183,8756;;;;;;;;928,78546;1043,6925;960,852097
7; 100_100_0.7_0.029999997_5;1187,0228;;;;;;;;875,6842;1154,6812;959,702182
8; 100_100_0.7_0.029999997_5;1191,1152;;Best;Worst;Average;;;;930,28265;1063,9888;1002,345346
9; 100_100_0.7_0.029999997_5;1040,2548;;1040,2548;1315,1533;1151,42261;;;;919,043;1125,1294;995,359538
0; 100_100_0.7_0.034999996_5;1142,1364;;;;;;;;895,9984;975,8826;930,881746
1; 100_100_0.7_0.034999996_5;1155,2792;;;;;;;;902,3217;1072,9001;989,100637
2; 100_100_0.7_0.034999996_5;1063,3368;;;;;;;;926,56934;1457,2249;1067,620077
3; 100_100_0.7_0.034999996_5;1209,9012;;;;;;;;872,6599;969,09766;928,626423
4; 100_100_0.7_0.034999996_5;1073,8201;;;;;;;;906,74255;1035,0944;968,911164
5; 100_100_0.7_0.034999996_5;1173,2567;;;;;;;;835,4178;1050,3097;955,471507
6; 100_100_0.7_0.034999996_5;1057,6696;;;;;;;;916,4581;1250,6234;997,369637
7; 100_100_0.7_0.034999996_5;1120,5656;;;;;;;;905,1812;1020,71045;959,540144
8; 100_100_0.7_0.034999996_5;1181,9144;;Best;Worst;Average;;;;841,7391;1435,12;1010,178293
9; 100_100_0.7_0.034999996_5;1179,7059;;1057,6696;1209,9012;1135,75859;;;;869,6935;1088,5828;945,067248
0; 100_100_0.7_0.039999995_5;1052,7496;;;;;;;;922,5183;1432,5419;1023,812231
1; 100_100_0.7_0.039999995_5;1061,1509;;;;;;;;849,2571;1397,595;1008,212962
2; 100_100_0.7_0.039999995_5;1133,8567;;;;;;;;922,61224;1487,9305;1075,738164
3; 100_100_0.7_0.039999995_5;1132,4133;;;;;;;;952,6359;1517,3632;1079,73795
4; 100_100_0.7_0.039999995_5;1135,2737;;;;;;;;933,7925;1290,6617;994,110237
5; 100_100_0.7_0.039999995_5;1118,8428;;;;;;;;866,44525;1247,7332;965,133982
6; 100_100_0.7_0.039999995_5;1052,0248;;;;;;;;918,7012;1747,4805;1050,031226
7; 100_100_0.7_0.039999995_5;1133,3688;;;;;;;;835,5549;1031,6508;949,370854
8; 100_100_0.7_0.039999995_5;1141,2812;;Best;Worst;Average;;;;;;
9; 100_100_0.7_0.039999995_5;1092,0933;;1052,0248;1141,2812;1105,30551;;;;;;
0; 100_100_0.7_0.044999994_5;1115,1758;;;;;;;;;;
