0; 100_100_0.1_0.1_5;1336,8625;;;;;;;;;;;
1; 100_100_0.1_0.1_5;1189,5759;;;;;;;;;;;
2; 100_100_0.1_0.1_5;1288,9999;;;;;;;;;;;
3; 100_100_0.1_0.1_5;1244,8243;;;;;;;;;;;
4; 100_100_0.1_0.1_5;1280,7001;;;;;;;;;;;
5; 100_100_0.1_0.1_5;1351,0488;;;;;;;;;;;
6; 100_100_0.1_0.1_5;1400,4154;;;;;;;;;;;
7; 100_100_0.1_0.1_5;1353,7021;;;;;;;;;;;
8; 100_100_0.1_0.1_5;1313,1378;;Best;Worst;Average;;;;;Best;Worst;Average
9; 100_100_0.1_0.1_5;1441,3864;;1189,5759;1441,3864;1320,06532;;;;;1189,5759;1441,3864;1320,06532
0; 100_100_0.15_0.1_5;1213,2439;;;;;;;;;1046,9257;1295,9978;1180,31729
1; 100_100_0.15_0.1_5;1263,7925;;;;;;;;;955,5103;1210,1521;1119,63983
2; 100_100_0.15_0.1_5;1046,9257;;;;;;;;;1010,4993;1157,4816;1089,52428
3; 100_100_0.15_0.1_5;1217,2726;;;;;;;;;930,6361;1117,8718;1053,667965
4; 100_100_0.15_0.1_5;1175,5844;;;;;;;;;963,61475;1308,8962;1074,083363
5; 100_100_0.15_0.1_5;1112,5278;;;;;;;;;943,92456;1160,7028;1026,257854
6; 100_100_0.15_0.1_5;1164,9324;;;;;;;;;873,1746;1116,6266;993,699784
7; 100_100_0.15_0.1_5;1173,3549;;;;;;;;;847,1441;1063,1113;996,071183
8; 100_100_0.15_0.1_5;1295,9978;;Best;Worst;Average;;;;;908,43964;1088,1737;1020,708297
9; 100_100_0.15_0.1_5;1139,5409;;1046,9257;1295,9978;1180,31729;;;;;928,4306;1123,061;1025,749805
0; 100_100_0.2_0.1_5;1103,2632;;;;;;;;;918,8455;1108,3539;982,976369
1; 100_100_0.2_0.1_5;1141,1848;;;;;;;;;917,21643;1086,3027;999,229191
2; 100_100_0.2_0.1_5;1080,3893;;;;;;;;;916,38495;1057,8007;997,214572
3; 100_100_0.2_0.1_5;1126,4512;;;;;;;;;903,93054;1070,846;978,394563
4; 100_100_0.2_0.1_5;955,5103;;;;;;;;;875,3854;1024,0555;962,562164
5; 100_100_0.2_0.1_5;1117,0287;;;;;;;;;882,3719;1076,9822;975,935093
6; 100_100_0.2_0.1_5;1210,1521;;;;;;;;;896,2475;1107,3856;1005,758752
7; 100_100_0.2_0.1_5;1147,526;;;;;;;;;875,0435;1053,3224;966,46138
8; 100_100_0.2_0.1_5;1165,6172;;Best;Worst;Average;;;;;;;
9; 100_100_0.2_0.1_5;1149,2755;;955,5103;1210,1521;1119,63983;;;;;;;
0; 100_100_0.25_0.1_5;1032,4272;;;;;;;;;;;
1; 100_100_0.25_0.1_5;1010,4993;;;;;;;;;;;
2; 100_100_0.25_0.1_5;1047,7957;;;;;;;;;;;
3; 100_100_0.25_0.1_5;1153,3362;;;;;;;;;;;
4; 100_100_0.25_0.1_5;1076,8353;;;;;;;;;;;
