0; 100_100_0.1_0.1_5;1299,6471;;;;;;;;;;;;
1; 100_100_0.1_0.1_5;1459,1864;;;;;;;;;;;;
2; 100_100_0.1_0.1_5;1432,7762;;;;;;;;;;;;
3; 100_100_0.1_0.1_5;1421,0751;;;;;;;;;;;;
4; 100_100_0.1_0.1_5;1397,785;;;;;;;;;;;;
5; 100_100_0.1_0.1_5;1307,4229;;;;;;;;;;;;
6; 100_100_0.1_0.1_5;1424,9266;;;;;;;;;;;;
7; 100_100_0.1_0.1_5;1375,1212;;;;;;;;;;;;
8; 100_100_0.1_0.1_5;1422,9003;;Best;Worst;Average;;;;;;Best;Worst;Average
9; 100_100_0.1_0.1_5;1287,1847;;1287,1847;1459,1864;1382,80255;;;;;;1287,1847;1459,1864;1382,80255
0; 100_100_0.15_0.1_5;1200,3179;;;;;;;;;;1110,4209;1298,7072;1202,5875
1; 100_100_0.15_0.1_5;1137,5746;;;;;;;;;;1014,1032;1251,2028;1111,52723
2; 100_100_0.15_0.1_5;1110,4209;;;;;;;;;;937,86304;1194,3551;1078,217428
3; 100_100_0.15_0.1_5;1281,898;;;;;;;;;;964,9091;1142,9362;1051,47353
4; 100_100_0.15_0.1_5;1190,3248;;;;;;;;;;917,2489;1102,3401;1033,403627
5; 100_100_0.15_0.1_5;1298,7072;;;;;;;;;;950,1737;1141,1519;1026,285527
6; 100_100_0.15_0.1_5;1249,9498;;;;;;;;;;949,66785;1087,9585;1012,755645
7; 100_100_0.15_0.1_5;1226,6002;;;;;;;;;;916,19464;1129,5679;1043,028237
8; 100_100_0.15_0.1_5;1193,1106;;Best;Worst;Average;;;;;;924,8488;1119,3617;1020,306508
9; 100_100_0.15_0.1_5;1136,971;;1110,4209;1298,7072;1202,5875;;;;;;921,08215;1153,4363;1000,185733
0; 100_100_0.2_0.1_5;1037,7699;;;;;;;;;;880,6764;1123,035;986,88323
1; 100_100_0.2_0.1_5;1138,101;;;;;;;;;;936,6615;1110,2483;997,648179
2; 100_100_0.2_0.1_5;1155,0045;;;;;;;;;;898,33905;1149,6501;1031,031856
3; 100_100_0.2_0.1_5;1099,6085;;;;;;;;;;902,2234;1093,552;993,131746
4; 100_100_0.2_0.1_5;1196,463;;;;;;;;;;935,53217;1146,7723;1033,519277
5; 100_100_0.2_0.1_5;1090,7758;;;;;;;;;;892,34674;1124,03;1007,529724
6; 100_100_0.2_0.1_5;1251,2028;;;;;;;;;;905,2813;1080,147;995,74904
7; 100_100_0.2_0.1_5;1052,3026;;;;;;;;;;847,7695;1091,9279;977,538142
8; 100_100_0.2_0.1_5;1079,941;;Best;Worst;Average;;;;;;;;
9; 100_100_0.2_0.1_5;1014,1032;;1014,1032;1251,2028;1111,52723;;;;;;;;
0; 100_100_0.25_0.1_5;1007,15894;;;;;;;;;;;;
1; 100_100_0.25_0.1_5;937,86304;;;;;;;;;;;;
2; 100_100_0.25_0.1_5;1145,8713;;;;;;;;;;;;
3; 100_100_0.25_0.1_5;1072,4135;;;;;;;;;;;;
4; 100_100_0.25_0.1_5;1052,8917;;;;;;;;;;;;
5; 100_100_0.25_0.1_5;1103,5023;;;;;;;;;;;;
6; 100_100_0.25_0.1_5;1023,2176;;;;;;;;;;;;
7; 100_100_0.25_0.1_5;1134,7129;;;;;;;;;;;;
8; 100_100_0.25_0.1_5;1194,3551;;Best;Worst;Average;;;;;;;;
9; 100_100_0.25_0.1_5;1110,1879;;937,86304;1194,3551;1078,217428;;;;;;;;
0; 100_100_0.3_0.1_5;964,9091;;;;;;;;;;;;
1; 100_100_0.3_0.1_5;1014,4902;;;;;;;;;;;;
2; 100_100_0.3_0.1_5;1131,5956;;;;;;;;;;;;
3; 100_100_0.3_0.1_5;1047,5906;;;;;;;;;;;;
4; 100_100_0.3_0.1_5;1023,6525;;;;;;;;;;;;
5; 100_100_0.3_0.1_5;999,2935;;;;;;;;;;;;
6; 100_100_0.3_0.1_5;1031,8689;;;;;;;;;;;;
7; 100_100_0.3_0.1_5;1142,9362;;;;;;;;;;;;
8; 100_100_0.3_0.1_5;1058,8656;;Best;Worst;Average;;;;;;;;
9; 100_100_0.3_0.1_5;1099,5331;;964,9091;1142,9362;1051,47353;;;;;;;;
0; 100_100_0.35000002_0.1_5;1067,57;;;;;;;;;;;;
1; 100_100_0.35000002_0.1_5;1046,9641;;;;;;;;;;;;
2; 100_100_0.35000002_0.1_5;1034,5383;;;;;;;;;;;;
3; 100_100_0.35000002_0.1_5;1102,3401;;;;;;;;;;;;
4; 100_100_0.35000002_0.1_5;1102,216;;;;;;;;;;;;
5; 100_100_0.35000002_0.1_5;981,323;;;;;;;;;;;;
6; 100_100_0.35000002_0.1_5;1097,1803;;;;;;;;;;;;
7; 100_100_0.35000002_0.1_5;1014,9923;;;;;;;;;;;;
8; 100_100_0.35000002_0.1_5;917,2489;;Best;Worst;Average;;;;;;;;
9; 100_100_0.35000002_0.1_5;969,66327;;917,2489;1102,3401;1033,403627;;;;;;;;
0; 100_100_0.40000004_0.1_5;950,1737;;;;;;;;;;;;
1; 100_100_0.40000004_0.1_5;1028,3427;;;;;;;;;;;;
2; 100_100_0.40000004_0.1_5;993,55707;;;;;;;;;;;;
3; 100_100_0.40000004_0.1_5;1030,806;;;;;;;;;;;;
4; 100_100_0.40000004_0.1_5;1024,7777;;;;;;;;;;;;
5; 100_100_0.40000004_0.1_5;1024,2529;;;;;;;;;;;;
6; 100_100_0.40000004_0.1_5;1049,1792;;;;;;;;;;;;
7; 100_100_0.40000004_0.1_5;991,0009;;;;;;;;;;;;
8; 100_100_0.40000004_0.1_5;1141,1519;;Best;Worst;Average;;;;;;;;
9; 100_100_0.40000004_0.1_5;1029,6132;;950,1737;1141,1519;1026,285527;;;;;;;;
0; 100_100_0.45000005_0.1_5;970,2691;;;;;;;;;;;;
1; 100_100_0.45000005_0.1_5;973,0155;;;;;;;;;;;;
2; 100_100_0.45000005_0.1_5;1019,636;;;;;;;;;;;;
3; 100_100_0.45000005_0.1_5;1020,2909;;;;;;;;;;;;
4; 100_100_0.45000005_0.1_5;949,66785;;;;;;;;;;;;
5; 100_100_0.45000005_0.1_5;1025,5967;;;;;;;;;;;;
6; 100_100_0.45000005_0.1_5;1033,4785;;;;;;;;;;;;
7; 100_100_0.45000005_0.1_5;1087,9585;;;;;;;;;;;;
