0; 100000_5_1000.0_1.0_0.9998;797,87177;;;;;;;;;
1; 100000_5_1000.0_1.0_0.9998;828,70013;;;;;;;;;
2; 100000_5_1000.0_1.0_0.9998;803,4315;;;;;;;;;
3; 100000_5_1000.0_1.0_0.9998;798,9433;;;;;;;;;
4; 100000_5_1000.0_1.0_0.9998;801,99445;;;;;;;;;
5; 100000_5_1000.0_1.0_0.9998;830,9457;;;;;;;;;
6; 100000_5_1000.0_1.0_0.9998;803,311;;;;;;;;;
7; 100000_5_1000.0_1.0_0.9998;829,4113;;;;;;;;;
8; 100000_5_1000.0_1.0_0.9998;837,2938;;Best;Worst;Average;;;Best;Worst;Average
9; 100000_5_1000.0_1.0_0.9998;806,4824;;797,87177;837,2938;813,838535;;;797,87177;837,2938;813,838535
0; 100000_5_1000.0_1.0_0.99981004;810,5735;;;;;;;798,9433;830,9456;811,20215
1; 100000_5_1000.0_1.0_0.99981004;798,9433;;;;;;;797,45123;830,9457;815,347408
2; 100000_5_1000.0_1.0_0.99981004;801,8739;;;;;;;797,87177;828,70013;807,382808
3; 100000_5_1000.0_1.0_0.99981004;830,9456;;;;;;;797,45123;828,70013;807,45154
4; 100000_5_1000.0_1.0_0.99981004;801,8739;;;;;;;797,87177;833,37854;807,974506
5; 100000_5_1000.0_1.0_0.99981004;829,4113;;;;;;;801,8739;830,7645;810,594029
6; 100000_5_1000.0_1.0_0.99981004;813,36926;;;;;;;797,87177;832,72327;812,821629
7; 100000_5_1000.0_1.0_0.99981004;804,88354;;;;;;;797,45123;830,9456;810,335223
8; 100000_5_1000.0_1.0_0.99981004;806,3619;;Best;Worst;Average;;;797,45123;830,9456;809,540839
9; 100000_5_1000.0_1.0_0.99981004;813,7853;;798,9433;830,9456;811,20215;;;801,8739;835,9031;811,029823
0; 100000_5_1000.0_1.0_0.99982005;829,4113;;;;;;;797,45123;811,4568;803,813735
1; 100000_5_1000.0_1.0_0.99982005;797,45123;;;;;;;797,87177;837,2939;813,107804
2; 100000_5_1000.0_1.0_0.99982005;830,9456;;;;;;;801,8739;830,9456;815,235464
3; 100000_5_1000.0_1.0_0.99982005;830,9457;;;;;;;797,45123;831,4116;809,543333
4; 100000_5_1000.0_1.0_0.99982005;828,70013;;;;;;;798,9433;830,8906;814,511547
5; 100000_5_1000.0_1.0_0.99982005;829,4114;;;;;;;841,96967;898,51495;870,412175
6; 100000_5_1000.0_1.0_0.99982005;803,311;;;;;;;937,4218;1017,8689;975,193496
7; 100000_5_1000.0_1.0_0.99982005;801,99445;;;;;;;989,2854;1037,1982;1009,090446
8; 100000_5_1000.0_1.0_0.99982005;797,87177;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0_0.99982005;803,4315;;797,45123;830,9457;815,347408;;;;;
0; 100000_5_1000.0_1.0_0.99983007;828,70013;;;;;;;;;
