0; 50000_5_1000.0_1.0;926,29785;;;;;;;;;
1; 50000_5_1000.0_1.0;930,33307;;;;;;;;;
2; 50000_5_1000.0_1.0;950,6801;;;;;;;;;
3; 50000_5_1000.0_1.0;933,49603;;;;;;;;;
4; 50000_5_1000.0_1.0;953,32056;;;;;;;;;
5; 50000_5_1000.0_1.0;925,45917;;;;;;;;;
6; 50000_5_1000.0_1.0;927,2208;;;;;;;;;
7; 50000_5_1000.0_1.0;913,8385;;;;;;;;;
8; 50000_5_1000.0_1.0;957,9885;;Best;Worst;Average;;;Best;Worst;Average
9; 50000_5_1000.0_1.0;907,2258;;907,2258;957,9885;932,586038;;;907,2258;957,9885;932,586038
0; 60000_5_1000.0_1.0;879,9907;;;;;;;835,1277;905,8075;865,764511
1; 60000_5_1000.0_1.0;887,6112;;;;;;;804,6273;839,12;823,814769
2; 60000_5_1000.0_1.0;837,9721;;;;;;;803,4315;837,39417;814,461143
3; 60000_5_1000.0_1.0;852,7357;;;;;;;797,45123;831,1704;813,911632
4; 60000_5_1000.0_1.0;835,1277;;;;;;;803,311;835,0131;815,645464
5; 60000_5_1000.0_1.0;865,35944;;;;;;;797,45123;829,4113;808,733153
6; 60000_5_1000.0_1.0;872,1112;;;;;;;801,02826;830,7645;806,043342
7; 60000_5_1000.0_1.0;905,8075;;;;;;;797,45123;835,01306;812,676205
8; 60000_5_1000.0_1.0;861,3938;;Best;Worst;Average;;;800,6078;810,5735;804,482093
9; 60000_5_1000.0_1.0;859,53577;;835,1277;905,8075;865,764511;;;801,8739;832,578;817,792868
0; 70000_5_1000.0_1.0;818,87897;;;;;;;;;
1; 70000_5_1000.0_1.0;821,73737;;;;;;;;;
2; 70000_5_1000.0_1.0;839,12;;;;;;;;;
3; 70000_5_1000.0_1.0;808,8391;;;;;;;;;
4; 70000_5_1000.0_1.0;804,6273;;;;;;;;;
5; 70000_5_1000.0_1.0;836,34875;;;;;;;;;
6; 70000_5_1000.0_1.0;834,6866;;;;;;;;;
7; 70000_5_1000.0_1.0;813,8167;;;;;;;;;
8; 70000_5_1000.0_1.0;833,0937;;Best;Worst;Average;;;;;
9; 70000_5_1000.0_1.0;826,9992;;804,6273;839,12;823,814769;;;;;
0; 80000_5_1000.0_1.0;806,03656;;;;;;;;;
1; 80000_5_1000.0_1.0;805,50085;;;;;;;;;
2; 80000_5_1000.0_1.0;803,4315;;;;;;;;;
3; 80000_5_1000.0_1.0;811,7308;;;;;;;;;
4; 80000_5_1000.0_1.0;812,0124;;;;;;;;;
5; 80000_5_1000.0_1.0;804,6552;;;;;;;;;
6; 80000_5_1000.0_1.0;804,6437;;;;;;;;;
7; 80000_5_1000.0_1.0;836,22955;;;;;;;;;
8; 80000_5_1000.0_1.0;822,9767;;Best;Worst;Average;;;;;
9; 80000_5_1000.0_1.0;837,39417;;803,4315;837,39417;814,461143;;;;;
0; 90000_5_1000.0_1.0;831,1704;;;;;;;;;
1; 90000_5_1000.0_1.0;829,4114;;;;;;;;;
2; 90000_5_1000.0_1.0;811,0434;;;;;;;;;
3; 90000_5_1000.0_1.0;797,45123;;;;;;;;;
4; 90000_5_1000.0_1.0;803,311;;;;;;;;;
5; 90000_5_1000.0_1.0;803,31104;;;;;;;;;
6; 90000_5_1000.0_1.0;802,6007;;;;;;;;;
7; 90000_5_1000.0_1.0;829,4114;;;;;;;;;
8; 90000_5_1000.0_1.0;801,99445;;Best;Worst;Average;;;;;
9; 90000_5_1000.0_1.0;829,4113;;797,45123;831,1704;813,911632;;;;;
0; 100000_5_1000.0_1.0;803,31104;;;;;;;;;
1; 100000_5_1000.0_1.0;803,311;;;;;;;;;
2; 100000_5_1000.0_1.0;803,4315;;;;;;;;;
3; 100000_5_1000.0_1.0;832,5237;;;;;;;;;
4; 100000_5_1000.0_1.0;806,1571;;;;;;;;;
5; 100000_5_1000.0_1.0;829,4113;;;;;;;;;
6; 100000_5_1000.0_1.0;835,0131;;;;;;;;;
7; 100000_5_1000.0_1.0;829,4114;;;;;;;;;
8; 100000_5_1000.0_1.0;810,5735;;Best;Worst;Average;;;;;
9; 100000_5_1000.0_1.0;803,311;;803,311;835,0131;815,645464;;;;;
0; 110000_5_1000.0_1.0;804,6706;;;;;;;;;
1; 110000_5_1000.0_1.0;801,8739;;;;;;;;;
2; 110000_5_1000.0_1.0;803,311;;;;;;;;;
3; 110000_5_1000.0_1.0;829,4113;;;;;;;;;
