0; 1000_10_100;910,6332;;;;;;;;;
1; 1000_10_100;884,66125;;;;;;;;;
2; 1000_10_100;863,74744;;;;;;;;;
3; 1000_10_100;895,0078;;;;;;;;;
4; 1000_10_100;961,3748;;;;;;;;;
5; 1000_10_100;931,92755;;;;;;;;;
6; 1000_10_100;820,0612;;;;;;;;;
7; 1000_10_100;898,1154;;;;;;;;;
8; 1000_10_100;860,78687;;Best;Worst;Average;;;Best;Worst;Average
9; 1000_10_100;869,60486;;820,0612;961,3748;889,592037;;;820,0612;961,3748;889,592037
0; 1000_10_110;818,0185;;;;;;;818,0185;927,0696;858,749028
1; 1000_10_110;901,98486;;;;;;;806,4824;916,64667;865,217633
2; 1000_10_110;818,50867;;;;;;;872,60046;930,44385;906,261404
3; 1000_10_110;851,33466;;;;;;;801,81885;982,7378;869,703472
4; 1000_10_110;927,0696;;;;;;;819,4;974,323;890,507263
5; 1000_10_110;858,3918;;;;;;;844,5714;937,1361;888,735187
6; 1000_10_110;851,54456;;;;;;;826,84503;952,47705;892,696201
7; 1000_10_110;826,46027;;;;;;;812,9034;929,99725;883,177236
8; 1000_10_110;890,4558;;Best;Worst;Average;;;805,871;933,14746;881,453156
9; 1000_10_110;843,72156;;818,0185;927,0696;858,749028;;;815,71783;918,1072;874,740127
0; 1000_10_120;889,78156;;;;;;;832,1027;954,0565;898,166116
1; 1000_10_120;806,4824;;;;;;;817,1429;947,01404;871,32251
2; 1000_10_120;842,583;;;;;;;815,59735;950,72784;867,534095
3; 1000_10_120;849,715;;;;;;;855,699;966,0059;914,988296
4; 1000_10_120;875,3288;;;;;;;830,34125;928,8273;884,195817
5; 1000_10_120;885,6127;;;;;;;808,4274;893,2992;853,681526
6; 1000_10_120;841,458;;;;;;;838,13025;927,0509;883,415252
7; 1000_10_120;916,64667;;;;;;;824,4238;886,7672;858,626566
8; 1000_10_120;841,8586;;Best;Worst;Average;;;843,5063;954,0242;886,303699
9; 1000_10_120;902,7096;;806,4824;916,64667;865,217633;;;872,0209;954,6951;912,475166
0; 1000_10_130;930,44385;;;;;;;817,52765;957,78796;877,265223
1; 1000_10_130;924,44385;;;;;;;821,6552;953,39435;890,50461
2; 1000_10_130;892,8544;;;;;;;809,4555;916,19275;859,391467
3; 1000_10_130;901,54224;;;;;;;812,6896;944,5709;871,11608
4; 1000_10_130;928,8273;;;;;;;831,8361;946,24304;885,00732
5; 1000_10_130;920,8107;;;;;;;825,7173;920,02246;868,608334
6; 1000_10_130;892,27484;;;;;;;818,08246;925,7213;877,629436
7; 1000_10_130;872,60046;;;;;;;822,8265;917,4079;854,325641
8; 1000_10_130;918,1072;;Best;Worst;Average;;;849,4489;970,4029;903,434615
9; 1000_10_130;880,7092;;872,60046;930,44385;906,261404;;;821,6093;947,2315;864,342077
0; 1000_10_140;895,4836;;;;;;;;;
1; 1000_10_140;805,871;;;;;;;;;
2; 1000_10_140;801,81885;;;;;;;;;
3; 1000_10_140;982,7378;;;;;;;;;
4; 1000_10_140;919,4116;;;;;;;;;
5; 1000_10_140;872,18036;;;;;;;;;
6; 1000_10_140;822,8272;;;;;;;;;
7; 1000_10_140;924,3605;;;;;;;;;
8; 1000_10_140;839,71027;;Best;Worst;Average;;;;;
9; 1000_10_140;832,63354;;801,81885;982,7378;869,703472;;;;;
0; 1000_10_150;892,4697;;;;;;;;;
1; 1000_10_150;819,4;;;;;;;;;
2; 1000_10_150;926,6866;;;;;;;;;
3; 1000_10_150;906,7038;;;;;;;;;
4; 1000_10_150;892,94293;;;;;;;;;
5; 1000_10_150;828,48615;;;;;;;;;
6; 1000_10_150;930,8646;;;;;;;;;
7; 1000_10_150;974,323;;;;;;;;;
8; 1000_10_150;822,9334;;Best;Worst;Average;;;;;
9; 1000_10_150;910,26245;;819,4;974,323;890,507263;;;;;
0; 1000_10_160;878,9878;;;;;;;;;
1; 1000_10_160;919,6283;;;;;;;;;
2; 1000_10_160;929,9503;;;;;;;;;
3; 1000_10_160;905,1636;;;;;;;;;
4; 1000_10_160;863,831;;;;;;;;;
5; 1000_10_160;937,1361;;;;;;;;;
6; 1000_10_160;844,5714;;;;;;;;;
7; 1000_10_160;865,592;;;;;;;;;
8; 1000_10_160;867,76917;;Best;Worst;Average;;;;;
9; 1000_10_160;874,7222;;844,5714;937,1361;888,735187;;;;;
0; 1000_10_170;826,84503;;;;;;;;;
1; 1000_10_170;904,3302;;;;;;;;;
2; 1000_10_170;946,35284;;;;;;;;;
3; 1000_10_170;893,9067;;;;;;;;;
4; 1000_10_170;932,3695;;;;;;;;;
5; 1000_10_170;874,25964;;;;;;;;;
6; 1000_10_170;952,47705;;;;;;;;;
7; 1000_10_170;886,25775;;;;;;;;;
8; 1000_10_170;849,715;;Best;Worst;Average;;;;;
9; 1000_10_170;860,4483;;826,84503;952,47705;892,696201;;;;;
0; 1000_10_180;915,2152;;;;;;;;;
1; 1000_10_180;812,9034;;;;;;;;;
2; 1000_10_180;906,1517;;;;;;;;;
3; 1000_10_180;892,7019;;;;;;;;;
4; 1000_10_180;885,6127;;;;;;;;;
5; 1000_10_180;924,12177;;;;;;;;;
6; 1000_10_180;888,42834;;;;;;;;;
7; 1000_10_180;858,071;;;;;;;;;
8; 1000_10_180;929,99725;;Best;Worst;Average;;;;;
9; 1000_10_180;818,5691;;812,9034;929,99725;883,177236;;;;;
0; 1000_10_190;911,9254;;;;;;;;;
1; 1000_10_190;828,62054;;;;;;;;;
2; 1000_10_190;860,79694;;;;;;;;;
3; 1000_10_190;805,871;;;;;;;;;
4; 1000_10_190;916,84033;;;;;;;;;
5; 1000_10_190;900,0315;;;;;;;;;
6; 1000_10_190;933,14746;;;;;;;;;
7; 1000_10_190;855,9677;;;;;;;;;
8; 1000_10_190;910,34485;;Best;Worst;Average;;;;;
9; 1000_10_190;890,98584;;805,871;933,14746;881,453156;;;;;
0; 1000_10_200;888,1946;;;;;;;;;
1; 1000_10_200;873,64404;;;;;;;;;
2; 1000_10_200;815,71783;;;;;;;;;
3; 1000_10_200;817,75433;;;;;;;;;
4; 1000_10_200;884,7018;;;;;;;;;
5; 1000_10_200;835,0568;;;;;;;;;
6; 1000_10_200;892,69257;;;;;;;;;
7; 1000_10_200;910,8567;;;;;;;;;
8; 1000_10_200;918,1072;;Best;Worst;Average;;;;;
9; 1000_10_200;910,6754;;815,71783;918,1072;874,740127;;;;;
0; 1000_10_210;882,71027;;;;;;;;;
1; 1000_10_210;834,9099;;;;;;;;;
2; 1000_10_210;908,3626;;;;;;;;;
3; 1000_10_210;878,6031;;;;;;;;;
4; 1000_10_210;896,7626;;;;;;;;;
5; 1000_10_210;954,0565;;;;;;;;;
6; 1000_10_210;931,59863;;;;;;;;;
7; 1000_10_210;910,72986;;;;;;;;;
8; 1000_10_210;832,1027;;Best;Worst;Average;;;;;
9; 1000_10_210;951,825;;832,1027;954,0565;898,166116;;;;;
0; 1000_10_220;903,2206;;;;;;;;;
1; 1000_10_220;899,5161;;;;;;;;;
2; 1000_10_220;852,145;;;;;;;;;
3; 1000_10_220;947,01404;;;;;;;;;
4; 1000_10_220;849,23236;;;;;;;;;
5; 1000_10_220;818,13904;;;;;;;;;
6; 1000_10_220;817,1429;;;;;;;;;
7; 1000_10_220;922,4625;;;;;;;;;
8; 1000_10_220;833,66986;;Best;Worst;Average;;;;;
9; 1000_10_220;870,6827;;817,1429;947,01404;871,32251;;;;;
0; 1000_10_230;850,6499;;;;;;;;;
1; 1000_10_230;815,59735;;;;;;;;;
2; 1000_10_230;892,12415;;;;;;;;;
3; 1000_10_230;950,72784;;;;;;;;;
4; 1000_10_230;861,76874;;;;;;;;;
5; 1000_10_230;907,78253;;;;;;;;;
6; 1000_10_230;877,3483;;;;;;;;;
7; 1000_10_230;819,0196;;;;;;;;;
8; 1000_10_230;864,8746;;Best;Worst;Average;;;;;
9; 1000_10_230;835,44794;;815,59735;950,72784;867,534095;;;;;
0; 1000_10_240;855,699;;;;;;;;;
1; 1000_10_240;891,3187;;;;;;;;;
2; 1000_10_240;921,825;;;;;;;;;
3; 1000_10_240;946,5184;;;;;;;;;
4; 1000_10_240;876,0895;;;;;;;;;
5; 1000_10_240;900,98096;;;;;;;;;
6; 1000_10_240;965,36707;;;;;;;;;
7; 1000_10_240;937,00867;;;;;;;;;
8; 1000_10_240;966,0059;;Best;Worst;Average;;;;;
9; 1000_10_240;889,06976;;855,699;966,0059;914,988296;;;;;
0; 1000_10_250;913,35675;;;;;;;;;
1; 1000_10_250;865,9281;;;;;;;;;
2; 1000_10_250;902,7923;;;;;;;;;
3; 1000_10_250;866,3554;;;;;;;;;
4; 1000_10_250;903,46277;;;;;;;;;
5; 1000_10_250;928,8273;;;;;;;;;
6; 1000_10_250;926,5821;;;;;;;;;
7; 1000_10_250;830,34125;;;;;;;;;
8; 1000_10_250;843,9269;;Best;Worst;Average;;;;;
9; 1000_10_250;860,3853;;830,34125;928,8273;884,195817;;;;;
0; 1000_10_260;886,5768;;;;;;;;;
1; 1000_10_260;836,6021;;;;;;;;;
2; 1000_10_260;866,1493;;;;;;;;;
3; 1000_10_260;818,0185;;;;;;;;;
4; 1000_10_260;824,76135;;;;;;;;;
5; 1000_10_260;893,2992;;;;;;;;;
6; 1000_10_260;808,4274;;;;;;;;;
7; 1000_10_260;874,83527;;;;;;;;;
8; 1000_10_260;853,38074;;Best;Worst;Average;;;;;
9; 1000_10_260;874,7646;;808,4274;893,2992;853,681526;;;;;
0; 1000_10_270;882,34344;;;;;;;;;
1; 1000_10_270;863,7363;;;;;;;;;
2; 1000_10_270;860,3221;;;;;;;;;
3; 1000_10_270;857,4847;;;;;;;;;
4; 1000_10_270;926,38403;;;;;;;;;
5; 1000_10_270;916,4556;;;;;;;;;
6; 1000_10_270;838,13025;;;;;;;;;
7; 1000_10_270;885,1877;;;;;;;;;
8; 1000_10_270;877,0575;;Best;Worst;Average;;;;;
9; 1000_10_270;927,0509;;838,13025;927,0509;883,415252;;;;;
0; 1000_10_280;869,6375;;;;;;;;;
1; 1000_10_280;880,1485;;;;;;;;;
2; 1000_10_280;827,1419;;;;;;;;;
3; 1000_10_280;825,07806;;;;;;;;;
4; 1000_10_280;886,7672;;;;;;;;;
5; 1000_10_280;824,4238;;;;;;;;;
6; 1000_10_280;872,7806;;;;;;;;;
7; 1000_10_280;858,6154;;;;;;;;;
8; 1000_10_280;877,7374;;Best;Worst;Average;;;;;
9; 1000_10_280;863,9353;;824,4238;886,7672;858,626566;;;;;
0; 1000_10_290;848,27155;;;;;;;;;
1; 1000_10_290;949,2378;;;;;;;;;
2; 1000_10_290;843,5063;;;;;;;;;
3; 1000_10_290;914,83844;;;;;;;;;
4; 1000_10_290;878,6108;;;;;;;;;
5; 1000_10_290;889,4059;;;;;;;;;
6; 1000_10_290;954,0242;;;;;;;;;
7; 1000_10_290;850,2056;;;;;;;;;
8; 1000_10_290;853,4396;;Best;Worst;Average;;;;;
9; 1000_10_290;881,4968;;843,5063;954,0242;886,303699;;;;;
0; 1000_10_300;942,9734;;;;;;;;;
1; 1000_10_300;898,4135;;;;;;;;;
2; 1000_10_300;929,17633;;;;;;;;;
3; 1000_10_300;872,0209;;;;;;;;;
4; 1000_10_300;913,31995;;;;;;;;;
5; 1000_10_300;913,95337;;;;;;;;;
6; 1000_10_300;954,6951;;;;;;;;;
7; 1000_10_300;923,7093;;;;;;;;;
8; 1000_10_300;894,32355;;Best;Worst;Average;;;;;
9; 1000_10_300;882,16626;;872,0209;954,6951;912,475166;;;;;
0; 1000_10_310;860,7221;;;;;;;;;
1; 1000_10_310;934,0066;;;;;;;;;
2; 1000_10_310;832,5903;;;;;;;;;
3; 1000_10_310;842,5386;;;;;;;;;
4; 1000_10_310;817,52765;;;;;;;;;
5; 1000_10_310;883,68396;;;;;;;;;
6; 1000_10_310;885,91736;;;;;;;;;
7; 1000_10_310;888,4242;;;;;;;;;
8; 1000_10_310;957,78796;;Best;Worst;Average;;;;;
9; 1000_10_310;869,4535;;817,52765;957,78796;877,265223;;;;;
0; 1000_10_320;857,1127;;;;;;;;;
1; 1000_10_320;870,55383;;;;;;;;;
2; 1000_10_320;953,39435;;;;;;;;;
3; 1000_10_320;923,3328;;;;;;;;;
4; 1000_10_320;821,6552;;;;;;;;;
5; 1000_10_320;890,54535;;;;;;;;;
6; 1000_10_320;872,2995;;;;;;;;;
7; 1000_10_320;922,94507;;;;;;;;;
8; 1000_10_320;902,3824;;Best;Worst;Average;;;;;
9; 1000_10_320;890,8249;;821,6552;953,39435;890,50461;;;;;
0; 1000_10_330;916,19275;;;;;;;;;
1; 1000_10_330;844,17993;;;;;;;;;
2; 1000_10_330;809,4555;;;;;;;;;
3; 1000_10_330;865,9026;;;;;;;;;
4; 1000_10_330;897,1704;;;;;;;;;
5; 1000_10_330;849,83215;;;;;;;;;
6; 1000_10_330;838,7817;;;;;;;;;
7; 1000_10_330;899,5024;;;;;;;;;
8; 1000_10_330;856,6885;;Best;Worst;Average;;;;;
9; 1000_10_330;816,20874;;809,4555;916,19275;859,391467;;;;;
0; 1000_10_340;944,5709;;;;;;;;;
1; 1000_10_340;889,78156;;;;;;;;;
2; 1000_10_340;860,3221;;;;;;;;;
3; 1000_10_340;818,09204;;;;;;;;;
4; 1000_10_340;812,6896;;;;;;;;;
5; 1000_10_340;907,0741;;;;;;;;;
6; 1000_10_340;821,39557;;;;;;;;;
7; 1000_10_340;886,5443;;;;;;;;;
8; 1000_10_340;888,27313;;Best;Worst;Average;;;;;
9; 1000_10_340;882,4175;;812,6896;944,5709;871,11608;;;;;
0; 1000_10_350;897,1276;;;;;;;;;
1; 1000_10_350;876,8561;;;;;;;;;
2; 1000_10_350;905,96423;;;;;;;;;
3; 1000_10_350;885,6114;;;;;;;;;
4; 1000_10_350;875,24207;;;;;;;;;
5; 1000_10_350;866,3554;;;;;;;;;
6; 1000_10_350;920,94476;;;;;;;;;
7; 1000_10_350;843,8925;;;;;;;;;
8; 1000_10_350;831,8361;;Best;Worst;Average;;;;;
9; 1000_10_350;946,24304;;831,8361;946,24304;885,00732;;;;;
0; 1000_10_360;845,2386;;;;;;;;;
1; 1000_10_360;826,3541;;;;;;;;;
2; 1000_10_360;865,7409;;;;;;;;;
3; 1000_10_360;876,04126;;;;;;;;;
4; 1000_10_360;893,8146;;;;;;;;;
5; 1000_10_360;861,87646;;;;;;;;;
6; 1000_10_360;825,7173;;;;;;;;;
7; 1000_10_360;870,48846;;;;;;;;;
8; 1000_10_360;900,7892;;Best;Worst;Average;;;;;
9; 1000_10_360;920,02246;;825,7173;920,02246;868,608334;;;;;
0; 1000_10_370;881,3694;;;;;;;;;
1; 1000_10_370;911,6909;;;;;;;;;
2; 1000_10_370;874,2314;;;;;;;;;
3; 1000_10_370;888,3642;;;;;;;;;
4; 1000_10_370;844,2848;;;;;;;;;
5; 1000_10_370;925,7213;;;;;;;;;
6; 1000_10_370;863,019;;;;;;;;;
7; 1000_10_370;818,08246;;;;;;;;;
8; 1000_10_370;915,4446;;Best;Worst;Average;;;;;
9; 1000_10_370;854,0863;;818,08246;925,7213;877,629436;;;;;
0; 1000_10_380;822,8265;;;;;;;;;
1; 1000_10_380;851,8831;;;;;;;;;
2; 1000_10_380;826,3541;;;;;;;;;
3; 1000_10_380;828,581;;;;;;;;;
4; 1000_10_380;835,44147;;;;;;;;;
5; 1000_10_380;874,9866;;;;;;;;;
6; 1000_10_380;858,6256;;;;;;;;;
7; 1000_10_380;899,3767;;;;;;;;;
8; 1000_10_380;827,77344;;Best;Worst;Average;;;;;
9; 1000_10_380;917,4079;;822,8265;917,4079;854,325641;;;;;
0; 1000_10_390;934,48645;;;;;;;;;
1; 1000_10_390;890,1169;;;;;;;;;
2; 1000_10_390;879,2329;;;;;;;;;
3; 1000_10_390;960,9919;;;;;;;;;
4; 1000_10_390;864,38995;;;;;;;;;
5; 1000_10_390;896,4995;;;;;;;;;
6; 1000_10_390;849,4489;;;;;;;;;
7; 1000_10_390;970,4029;;;;;;;;;
8; 1000_10_390;898,8495;;Best;Worst;Average;;;;;
9; 1000_10_390;889,92725;;849,4489;970,4029;903,434615;;;;;
0; 1000_10_400;849,79175;;;;;;;;;
1; 1000_10_400;896,11475;;;;;;;;;
2; 1000_10_400;830,8686;;;;;;;;;
3; 1000_10_400;821,6093;;;;;;;;;
4; 1000_10_400;821,87103;;;;;;;;;
5; 1000_10_400;947,2315;;;;;;;;;
6; 1000_10_400;822,7665;;;;;;;;;
7; 1000_10_400;937,9825;;;;;;;;;
8; 1000_10_400;856,45624;;Best;Worst;Average;;;;;
9; 1000_10_400;858,7286;;821,6093;947,2315;864,342077;;;;;
