0; 100_100_0.7_0.1_1;1569,9478;;;;;;;;;;
1; 100_100_0.7_0.1_1;1654,7388;;;;;;;;;;
2; 100_100_0.7_0.1_1;1641,0264;;;;;;;;;;
3; 100_100_0.7_0.1_1;1588,097;;;;;;;;;;
4; 100_100_0.7_0.1_1;1548,1793;;;;;;;;;;
5; 100_100_0.7_0.1_1;1558,5515;;;;;;;;;;
6; 100_100_0.7_0.1_1;1571,255;;;;;;;;;;
7; 100_100_0.7_0.1_1;1575,2217;;;;;;;;;;
8; 100_100_0.7_0.1_1;1612,7277;;Best;Worst;Average;;;;Best;Worst;Average
9; 100_100_0.7_0.1_1;1542,3959;;1542,3959;1654,7388;1586,21411;;;;1542,3959;1654,7388;1586,21411
0; 100_100_0.7_0.1_2;1039,3473;;;;;;;;1033,6624;1174,2395;1087,79715
1; 100_100_0.7_0.1_2;1090,6554;;;;;;;;923,36334;1065,7168;983,696905
2; 100_100_0.7_0.1_2;1067,838;;;;;;;;968,37866;1168,0635;1050,969083
3; 100_100_0.7_0.1_2;1033,6624;;;;;;;;873,0643;1136,9591;1014,12249
4; 100_100_0.7_0.1_2;1174,2395;;;;;;;;916,17413;1212,6858;1013,986664
5; 100_100_0.7_0.1_2;1091,7683;;;;;;;;925,5981;1199,8551;1029,626376
6; 100_100_0.7_0.1_2;1152,784;;;;;;;;940,55304;1118,3989;1023,699064
7; 100_100_0.7_0.1_2;1075,6113;;;;;;;;902,7016;1056,572;986,280907
8; 100_100_0.7_0.1_2;1084,6796;;Best;Worst;Average;;;;931,5845;1045,7981;992,14999
9; 100_100_0.7_0.1_2;1067,3857;;1033,6624;1174,2395;1087,79715;;;;927,47784;1261,9521;1049,996949
0; 100_100_0.7_0.1_3;967,4125;;;;;;;;913,941;1078,7476;999,398978
1; 100_100_0.7_0.1_3;953,065;;;;;;;;890,29083;1127,824;996,360205
2; 100_100_0.7_0.1_3;1065,7168;;;;;;;;899,8302;1157,7029;1017,710124
3; 100_100_0.7_0.1_3;978,3609;;;;;;;;872,93024;1095,471;998,533014
4; 100_100_0.7_0.1_3;938,2424;;;;;;;;906,1112;1100,6088;1022,50639
5; 100_100_0.7_0.1_3;923,36334;;;;;;;;963,5415;1138,9753;1022,364314
6; 100_100_0.7_0.1_3;972,57495;;;;;;;;888,0822;1169,2871;988,940726
7; 100_100_0.7_0.1_3;963,325;;;;;;;;887,17633;1118,308;997,190582
8; 100_100_0.7_0.1_3;1019,97516;;Best;Worst;Average;;;;944,9089;1098,108;1013,130804
9; 100_100_0.7_0.1_3;1054,933;;923,36334;1065,7168;983,696905;;;;908,1902;1111,862;1010,85027
0; 100_100_0.7_0.1_4;1019,2129;;;;;;;;953,2988;1122,5149;1022,03411
1; 100_100_0.7_0.1_4;1117,299;;;;;;;;825,0284;1158,4094;1003,890462
2; 100_100_0.7_0.1_4;995,80133;;;;;;;;857,42346;1049,8201;971,546456
3; 100_100_0.7_0.1_4;1168,0635;;;;;;;;909,77936;1173,2839;1025,211015
4; 100_100_0.7_0.1_4;1092,5715;;;;;;;;963,30396;1152,3325;1040,909078
5; 100_100_0.7_0.1_4;1016,73;;;;;;;;931,36456;1107,1505;1004,097634
6; 100_100_0.7_0.1_4;1016,2829;;;;;;;;882,45416;1095,9612;1011,400462
7; 100_100_0.7_0.1_4;974,75604;;;;;;;;894,12195;1146,194;1009,087279
8; 100_100_0.7_0.1_4;968,37866;;Best;Worst;Average;;;;892,0409;1146,4083;1000,424408
9; 100_100_0.7_0.1_4;1140,595;;968,37866;1168,0635;1050,969083;;;;925,7575;1170,7279;1018,834252
0; 100_100_0.7_0.1_5;1136,9591;;;;;;;;900,51886;1094,494;1021,551736
1; 100_100_0.7_0.1_5;985,7357;;;;;;;;911,0663;1098,8868;1002,56732
2; 100_100_0.7_0.1_5;1068,425;;;;;;;;876,0832;1025,5151;964,032799
3; 100_100_0.7_0.1_5;1035,9948;;;;;;;;940,29004;1075,3474;1013,691364
4; 100_100_0.7_0.1_5;1036,3401;;;;;;;;895,4234;1119,367;990,577421
5; 100_100_0.7_0.1_5;1079,1244;;;;;;;;881,2074;1111,4524;1004,722003
6; 100_100_0.7_0.1_5;883,3938;;;;;;;;883,69806;1099,8345;980,542905
7; 100_100_0.7_0.1_5;941,6605;;;;;;;;889,71704;1120,0304;998,316572
8; 100_100_0.7_0.1_5;873,0643;;Best;Worst;Average;;;;915,897;1180,8356;1017,521703
9; 100_100_0.7_0.1_5;1100,5272;;873,0643;1136,9591;1014,12249;;;;947,8365;1076,5886;1019,858294
0; 100_100_0.7_0.1_6;965,46204;;;;;;;;880,4666;1157,5602;1017,639735
1; 100_100_0.7_0.1_6;1017,3905;;;;;;;;986,629;1091,7091;1020,789701
2; 100_100_0.7_0.1_6;959,2491;;;;;;;;940,8756;1116,1589;1036,312746
3; 100_100_0.7_0.1_6;964,39087;;;;;;;;860,7028;1067,4293;982,266145
4; 100_100_0.7_0.1_6;957,4326;;;;;;;;999,89734;1166,3345;1067,761234
5; 100_100_0.7_0.1_6;916,17413;;;;;;;;909,6039;1004,34656;957,054227
6; 100_100_0.7_0.1_6;1054,0879;;;;;;;;901,5615;1116,7588;1016,149644
7; 100_100_0.7_0.1_6;1152,0033;;;;;;;;910,0552;1086,1349;996,076637
8; 100_100_0.7_0.1_6;1212,6858;;Best;Worst;Average;;;;902,708;1152,5863;1042,732033
9; 100_100_0.7_0.1_6;940,9904;;916,17413;1212,6858;1013,986664;;;;915,2198;1080,2886;1001,0071
0; 100_100_0.7_0.1_7;1090,9634;;;;;;;;900,9615;1079,7433;1018,694186
1; 100_100_0.7_0.1_7;1044,3446;;;;;;;;910,53894;1096,6744;999,30122
2; 100_100_0.7_0.1_7;954,4194;;;;;;;;982,34375;1103,5195;1029,364147
3; 100_100_0.7_0.1_7;946,05786;;;;;;;;884,1386;1178,5449;1030,49561
4; 100_100_0.7_0.1_7;1199,8551;;;;;;;;954,1665;1182,8733;1010,224571
