1050,5728;;;;;
997,4603;;;;;
997,03986;;;;;
1040,1378;;;;;
981,6652;;Best;Worst;Avg;Std
1022,9409;;906,0843;1142,8107;1010,574664;49,85498811
1047,4125;;;;;
1037,7214;;;;;
1088,3716;;;;;
935,5961;;;;;
969,05133;;;;;
1045,069;;;;;
1057,2188;;;;;
1024,969;;;;;
944,00195;;;;;
1038,5448;;;;;
972,1113;;;;;
953,7565;;;;;
973,62085;;;;;
906,0843;;;;;
967,8345;;;;;
1085,582;;;;;
1142,8107;;;;;
1025,8973;;;;;
983,2376;;;;;
1029,258;;;;;
985,4071;;;;;
1055,2192;;;;;
970,0836;;;;;
1023,8993;;;;;
975,239;;;;;
