1914,8175;;;;;
2076,1255;;;;;
2068,5747;;;;;
1992,9443;;;;;
2381,378;;;;;
2197,353;;;;;
2093,5415;;;;;
2034,741;;Best;Worst;Average;Std
2131,2993;;1668,3284;2632,2673;2180,206368;130,8430435
2266,1917;;;;;
2342,5913;;;;;
2230,1714;;;;;
2071,3699;;;;;
2093,5312;;;;;
2034,444;;;;;
2385,4985;;;;;
2100,9534;;;;;
2214,504;;;;;
2140,9897;;;;;
2163,0417;;;;;
2281,4465;;;;;
2095,442;;;;;
2193,0364;;;;;
2164,682;;;;;
2078,6506;;;;;
2169,5195;;;;;
2153,8704;;;;;
2166,1917;;;;;
2186,6191;;;;;
2201,339;;;;;
2280,377;;;;;
2166,7776;;;;;
2090,1157;;;;;
2241,637;;;;;
2170,9097;;;;;
2017,9127;;;;;
2129,7395;;;;;
2333,7366;;;;;
1961,3114;;;;;
2217,7202;;;;;
2436,4395;;;;;
2326,2632;;;;;
1999,0261;;;;;
2264,4646;;;;;
2206,974;;;;;
1834,839;;;;;
2340,3464;;;;;
2158,5037;;;;;
2076,9636;;;;;
1916,4314;;;;;
2187,1472;;;;;
2343,6233;;;;;
2131,4158;;;;;
2077,665;;;;;
2072,4119;;;;;
2231,9744;;;;;
1938,8704;;;;;
2218,603;;;;;
2052,9998;;;;;
2227,5254;;;;;
2104,3018;;;;;
2010,8317;;;;;
2239,0596;;;;;
2167,3389;;;;;
2146,324;;;;;
2074,6943;;;;;
2145,3054;;;;;
2040,4309;;;;;
2007,3665;;;;;
2199,6006;;;;;
2169,386;;;;;
2159,0093;;;;;
2368,39;;;;;
1979,514;;;;;
2244,9224;;;;;
2207,5947;;;;;
2268,045;;;;;
2148,7546;;;;;
2093,2017;;;;;
2231,7256;;;;;
2299,8794;;;;;
2439,0308;;;;;
2218,616;;;;;
2155,7678;;;;;
1967,8301;;;;;
1942,4812;;;;;
2072,649;;;;;
2226,4504;;;;;
2161,4277;;;;;
2020,3107;;;;;
2118,7668;;;;;
2256,6147;;;;;
2254,2773;;;;;
2174,7485;;;;;
2289,4502;;;;;
2215,7102;;;;;
2209,117;;;;;
2111,8765;;;;;
2250,603;;;;;
2142,8044;;;;;
2332,8628;;;;;
2226,0925;;;;;
2237,022;;;;;
2401,2024;;;;;
2072,477;;;;;
2373,0686;;;;;
2327,812;;;;;
2295,2437;;;;;
1936,7314;;;;;
2282,3599;;;;;
2039,2299;;;;;
2158,4312;;;;;
2390,6743;;;;;
2077,0908;;;;;
2290,9434;;;;;
2101,8867;;;;;
2149,2117;;;;;
2005,1434;;;;;
2217,7537;;;;;
2030,2603;;;;;
2264,7163;;;;;
2386,1016;;;;;
2231,3335;;;;;
2132,1187;;;;;
1962,4755;;;;;
2128,754;;;;;
2189,8276;;;;;
2247,5688;;;;;
2130,2566;;;;;
2365,3438;;;;;
2225,9956;;;;;
2152,346;;;;;
2108,6685;;;;;
